code_cbna	libelle	AGEFLOW_MAX	AGEFLOW_MIN	C_Plant	CLONRATE	CNRATIO	DNA	ELLAER_INDK	ELLCONT	ELLCONT_INDK	ELLHUMUS_INDK	ELLLITE	ELLLITE_INDK	ELLMOIST	ELLMOIST_INDK	ELLMOISTVAR_INDK	ELLNIT	ELLNIT_INDK	ELLPH	ELLREAC_INDK	ELLSALT	ELLTEMP	ELLTEMP_INDK	FECUNDITY	GERMRATE	L_ANGLE	L_AREA	L_DRYM	L_FRESHM	L_THICK	LATSPR	LCCp	LD13C	LD15N	LDMC	Leaf_T_Strength	LKC	LNC	LPC	MAX_AGE	MOW_TOLERANCE_INDK	N_Plant	NBCHROM	Palatability	PL_H_flora_MIN	PL_REPR_H	PL_VEG_H	PL_VEG_H_max	ROOT_DEPTH_INDK	SEED_LONGEVITY_INDK	SEEDH	SEEDL	SEEDM	SEEDW	SLA	APOM	CATTLE	CHANGE_TENDENCY_INDK	CLONAab	CLONAbel	DEER	DIASPTYPE	DICH	DISP	DISP_INDK	DISP_VITTOZ	DOM_IN_SITU_INDK	ECOLOGICAL_GRP_INDK	ELLAER_INDK_VAR	ELLCONT_INDK_VAR	ELLHUMUS_INDK_VAR	ELLLITE_INDK_VAR	ELLMOIST_INDK_VAR	ELLNIT_INDK_VAR	ELLREAC_INDK_VAR	ELLSALT_INDK	ELLTEMP_INDK_VAR	ENDEM	FLONSET_BEG_INDK	FLONSET_END_INDK	FRUIT	GERMREQ	GRAZ	GROWTHF	IMMIG_INVASIV_INDK	INFLO_DETAIL	INFLO_SIMPLE	L_ANAT	L_FORM	L_LONG	LHIST	LIFESPAN	LPERST_INDK	MAN_INFLUENCE_INDK	MEDIC_POISON_FX_INDK	MOW	MYCORR	NATURAL	NUTR	PLOIDY	POLL_2ND_INDK	POLL_MAIN_INDK	REPROD_INDK	REPSTRAT	ROOTMET	ROSET	SEEDPROD	STORAGE_ORGANS_INDK	STRAT_INDK	TAPROOT	VEG_DISP	WOODY	CODE_CBNA
13	Acer monspessulanum L.							2		3	2	6	3		2	1		2		4			4.5																	150									3									=							meteorochory		scattered		large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	May					idiochorophytes or indigenes						Phanerophyte		decidous	moderately close to nature (moderately urbanophobous)	edible							entomogamous	unisexual and monoecious					thick lignified main roots	ccc		no vegetative dispersal parts		13
15	Acer monspessulanum L. subsp. martinii (Jordan) P. Fourn.							2		3	2		3		2	1		2		4			4.5																	150									3									=							meteorochory		scattered		large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	May					idiochorophytes or indigenes						Phanerophyte		decidous	moderately close to nature (moderately urbanophobous)	edible							entomogamous	unisexual and monoecious					thick lignified main roots	ccc		no vegetative dispersal parts		15
16	Acer monspessulanum L. subsp. monspessulanum							2		3	2	6	3		2	1		2		4			4.5				12.01	0.02584	0.12707						0.205780944718998					150			13		200		700	600	3						44.18994413			=						Wind dispersal	meteorochory	6	scattered		large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	May	Samara				idiochorophytes or indigenes	corymb	corymb	mesomorphic_scleromorphic	lobate	summer green	Phanerophyte	pluriennial	decidous	moderately close to nature (moderately urbanophobous)	edible			Indigenous	Chlorophyllian	diploid		entomogamous	unisexual and monoecious			Erosulate plant		thick lignified main roots	ccc		no vegetative dispersal parts	Frutescent	16
19	Acer opalus Miller							2	4	3	2	5	3	4	2	1	6	2.5	8	4		8	4.5	924																500			13	2	200		950	1000	3		3.25	24.45	100	8.9	17.68			=						Wind dispersal	meteorochory	5	scattered	forest plants	large variation (II)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		April	May	Samara				idiochorophytes or indigenes	corymb	corymb	mesomorphic	lobate	summer green	Phanerophyte	pluriennial	decidous	close to nature (strictly urbanophobous)	edible			Indigenous	Chlorophyllian	diploid		entomogamous	unisexual and monoecious			Erosulate plant		thick lignified main roots	ccc		basal lateral shoots	Frutescent	19
22	Acer platanoides L.							1	4	3	2	4	2	5	3	1	7	3	7	4	0	6	4				73.078166665								274		10.67	21.365	1.7775	150			13		500	1750	2500	3000	4		2.63	40.625	137.2	10.625	20.75			=				generative dispersule_germinule_one-seeded generative dispersule	protandrous_protogynous	Wind dispersal	dysochory_meteorochory	4	scattered	forest plants	small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	large variation (II)		small variation (I)		April	May	Samara	Chilling			idiochorophytes or indigenes	corymb	corymb	hygromorphic_mesomorphic	lobate	summer green	Phanerophyte	pluriennial	decidous	indifferent (urbanoneutral)	edible		Arbuscular AM	Indigenous	Chlorophyllian	diploid		anemogamous_entomogamous	unisexual and monoecious	Polycarpic		Erosulate plant		thick lignified main roots	ccc		basal lateral shoots	Frutescent	22
23	Acer pseudoplatanus L.				10		2.4	1	4	2	2	4	2	6	3.5	3	7	3	6	3	0		3	11880			83.32					458.486595154			264		9.86	26.520543098	1.77	600			19.5	2	500	1750	2500	3500	3.5		4.75	32.8	84.19	13	16.18			<		Roots with generative buds		generative dispersule_germinule_one-seeded generative dispersule	protandrous	Wind dispersal	meteorochory	4	in larger groups	forest plants	large variation (II)	small variation (I)	small variation (I)	large variation (II)	large variation (II)	small variation (I)	large variation (II)		large variation (II)		April	May	Samara	Chilling			idiochorophytes or indigenes	raceme of uniparous scorpio-like cymes	raceme	mesomorphic	lobate	summer green	Phanerophyte	pluriennial	decidous	indifferent (urbanoneutral)	edible		Arbuscular AM	Indigenous	Chlorophyllian	tetraploid		entomogamous	unisexual and monoecious	Polycarpic		Erosulate plant		thick lignified main roots	ccc		basal lateral shoots	Frutescent	23
24	Acer saccharinum L.							2		2	2		2		3	1		3		3			4.5																										3									<							meteorochory		scattered		small variation (I)	small variation (I)	small variation (I)	large variation (II)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		March	April					neophytes						Phanerophyte		decidous	moderatly hemerobic (moderately urbanophilous)	edible							anemogamous	unisexual and monoecious					thick lignified main roots	ccc		basal lateral shoots		24
26	Actinidia chinensis Planch.							2		2	2		4		3	1		3		3			5																										3									<							endochory		scattered		small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)		small variation (I)		June						neophytes						Climber_Phanerophyte		decidous	strictly hemerobic (strictly urbanophilous)									hermaphroditic and normal sexual					thick lignified main roots	ccs		no vegetative dispersal parts		26
28	Adoxa moschatellina L.		0		6		21.45	1	5	3	2	4	2	5.5	3.5	2	6.5	3	6.5	4	0		3				19.51	0.04542195247							135						1		18		7	10	9	13.5	1		4.315	4.25	0.63	4.25	38.5			>		Stem-derived corms/tubers		germinule	homogamous_protandrous_protogynous	Unassisted dispersal	dysochory_endochory	6	in larger groups	forest plants	small variation (I)	small variation (I)	large variation (II)	large variation (II)	large variation (II)	small variation (I)	small variation (I)		large variation (II)		March	May	Drupe	Chilling			idiochorophytes or indigenes	capitulum-like cyme	solitary	hygromorphic	pinnate	spring green	Geophyte	pluriennial	pre-summergreen	moderately close to nature (moderately urbanophobous)				Indigenous	Chlorophyllian	diploid_tetraploid	autogamous	entomogamous	hermaphroditic and normal sexual	Polycarpic		Erosulate plant_Hemirosette plant		rhizome with fleshy organs	crs	no	below-ground runners	Herbaceous	28
60	Tetragonia tetragonoides (Pallas) O. Kuntze							1		2	2		4		3	2		4		3			4																																			<							epichory		scattered or in small groups	weeds and ruderal plants	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	small variation (I)	salt tolerant	small variation (I)		July	September					neophytes						Therophyte		decidous	strictly hemerobic (strictly urbanophilous)									hermaphroditic and normal sexual					no special organ to store energy	rrr		no vegetative dispersal parts		60
