species	name	GROUP	PFG	determinant
786	Achillea_millefolium	C	C1	TRUE
6681	Anthyllis_montana	C	C1	TRUE
11075	Cotoneaster_integerrimus	C	C1	TRUE
5897	Helianthemum_grandiflorum	C	C1	TRUE
5924	Helianthemum_nummularium	C	C1	TRUE
7033	Hippocrepis_comosa	C	C1	TRUE
4826	Lonicera_caerulea	C	C1	TRUE
8693	Origanum_vulgare	C	C1	FALSE
11256	Potentilla_neumanniana	C	C1	TRUE
11573	Rubus_idaeus	C	C1	TRUE
11664	Rubus_saxatilis	C	C1	TRUE
10118	Rumex_acetosella	C	C1	TRUE
8849	Stachys_recta	C	C1	TRUE
8863	Teucrium_chamaedrys	C	C1	TRUE
8943	Thymus_praecox	C	C1	FALSE
8948	Thymus_pulegioides	C	C1	TRUE
13153	Valeriana_montana	C	C1	TRUE
846	Antennaria_dioica	C	C2	TRUE
975	Artemisia_umbelliformis subsp.eriantha	C	C2	TRUE
976	Artemisia_umbelliformis subsp.umbelliformis	C	C2	TRUE
4969	Cerastium_alpinum	C	C2	TRUE
4999	Cerastium_cerastoides	C	C2	TRUE
5025	Cerastium_latifolium	C	C2	TRUE
5029	Cerastium_pedunculatum	C	C2	TRUE
5059	Cerastium_uniflorum	C	C2	TRUE
16358	Helictotrichon_sedenense subsp.sedenense	C	C2	TRUE
2543	Leucanthemopsis_alpina	C	C2	TRUE
10192	Rumex_scutatus	C	C2	TRUE
12055	Salix_glaucosericea	C	C2	FALSE
12057	Salix_hastata	C	C2	TRUE
12130	Saxifraga_aizoides	C	C2	TRUE
12236	Saxifraga_oppositifolia	C	C2	TRUE
6190	Sempervivum_arachnoideum	C	C2	TRUE
8939	Thymus_polytrichus	C	C2	TRUE
6493	Vaccinium_uliginosum subsp.microphyllum	C	C2	TRUE
10289	Androsace_pubescens	C	C3	TRUE
10297	Androsace_vitaliana	C	C3	TRUE
11135	Dryas_octopetala	C	C3	TRUE
6413	Empetrum_nigrum subsp.hermaphroditum	C	C3	TRUE
3449	Eritrichium_nanum subsp.nanum	C	C3	TRUE
8239	Globularia_cordifolia	C	C3	TRUE
5185	Gypsophila_repens	C	C3	TRUE
17314	Juniperus_sibirica	C	C3	FALSE
4356	Noccaea_rotundifolia	C	C3	TRUE
9962	Polygala_chamaebuxus	C	C3	FALSE
10348	Primula_hirsuta	C	C3	TRUE
10352	Primula_latifolia	C	C3	TRUE
10359	Primula_pedemontana subsp.pedemontana	C	C3	FALSE
4361	Pritzelago_alpina subsp.alpina	C	C3	TRUE
6483	Rhododendron_ferrugineum	C	C3	TRUE
5327	Sagina_glabra	C	C3	TRUE
5343	Sagina_saginoides	C	C3	TRUE
12060	Salix_herbacea	C	C3	TRUE
12086	Salix_reticulata	C	C3	TRUE
12087	Salix_retusa	C	C3	TRUE
12144	Saxifraga_bryoides	C	C3	TRUE
12178	Saxifraga_exarata	C	C3	TRUE
6104	Sedum_album	C	C3	TRUE
6107	Sedum_alpestre	C	C3	TRUE
6126	Sedum_dasyphyllum	C	C3	TRUE
5361	Silene_acaulis	C	C3	TRUE
5363	Silene_acaulis subsp.bryoides	C	C3	TRUE
3316	Alnus_alnobetula	C	C4	TRUE
11038	Amelanchier_ovalis	C	C4	TRUE
6073	Cornus_sanguinea	C	C4	TRUE
6077	Corylus_avellana	C	C4	TRUE
11102	Crataegus_monogyna	C	C4	TRUE
17297	Juniperus_communis	C	C4	TRUE
4837	Lonicera_xylosteum	C	C4	TRUE
8259	Ribes_petraeum	C	C4	TRUE
11422	Rosa_pendulina	C	C4	TRUE
12062	Salix_laggeri	C	C4	TRUE
12078	Salix_purpurea	C	C4	FALSE
6423	Arctostaphylos_uva-ursi subsp.crassifolius	C	C5	TRUE
6427	Calluna_vulgaris	C	C5	TRUE
7035	Hippocrepis_emerus	C	C5	TRUE
6490	Vaccinium_myrtillus	C	C6	TRUE
6495	Vaccinium_vitis-idaea subsp.vitis-idaea	C	C6	TRUE
796	Achillea_nana	H	H1	TRUE
15307	Agrostis_alpina	H	H1	TRUE
15351	Agrostis_rupestris	H	H1	TRUE
11004	Alchemilla_pentaphyllea	H	H1	FALSE
15427	Alopecurus_alpinus	H	H1	TRUE
902	Arnica_montana	H	H1	TRUE
6725	Astragalus_alpinus	H	H1	TRUE
199	Athamanta_cretensis	H	H1	TRUE
15608	Avenula_versicolor subsp.versicolor	H	H1	TRUE
4637	Campanula_cochleariifolia	H	H1	TRUE
13871	Carex_capillaris	H	H1	TRUE
13887	Carex_curvula	H	H1	TRUE
13916	Carex_echinata	H	H1	FALSE
13945	Carex_foetida	H	H1	TRUE
13946	Carex_frigida	H	H1	TRUE
14024	Carex_nigra	H	H1	TRUE
14054	Carex_panicea	H	H1	TRUE
14091	Carex_rupestris	H	H1	TRUE
1680	Doronicum_grandiflorum	H	H1	TRUE
9270	Epilobium_anagallidifolium	H	H1	TRUE
14204	Eriophorum_latifolium	H	H1	TRUE
14205	Eriophorum_polystachion	H	H1	TRUE
14209	Eriophorum_scheuchzeri	H	H1	TRUE
16078	Festuca_halleri subsp.halleri	H	H1	TRUE
16216	Festuca_quadriflora	H	H1	TRUE
8075	Gentiana_punctata	H	H1	TRUE
11160	Geum_montanum	H	H1	TRUE
11162	Geum_reptans	H	H1	TRUE
2035	Hieracium_glaciale	H	H1	TRUE
14569	Juncus_alpinoarticulatus subsp.alpinoarticulatus	H	H1	TRUE
14660	Juncus_trifidus	H	H1	TRUE
14228	Kobresia_myosuroides	H	H1	TRUE
2522	Leontodon_montanus	H	H1	TRUE
2527	Leontodon_pyrenaicus subsp.helveticus	H	H1	TRUE
12460	Linaria_alpina subsp.alpina	H	H1	TRUE
7139	Lotus_alpinus	H	H1	TRUE
14668	Luzula_alpinopilosa	H	H1	TRUE
10019	Oxyria_digyna	H	H1	TRUE
16642	Phleum_alpinum	H	H1	TRUE
