CODE_CBNA	SPECIES	TYPE	PFG_ALL	PFG_DETERM	maturity	longevity	height	dispersal	dispersal_dist	palatability	light	SEED_MASS	LEAF_AREA	SLA	SLA_avg	LDMC	LDMC_avg	ELLTEMP	ELLMOIST	ELLPH	ELLNIT	ELLLITE	ELLLITE2	REPRO	FOLIAGE	DISP	FLORAISON	FRUIT	INFLO	MOWTOL	NUTR	ROOTDEPTH	WOODY	Chamaephyte	Geophyte	Helophyte	Hemicryptophyte	Hydrohemicryptophyte	Phanerophyte	Therophyte	decidous	evergreen	green.only.from.autumn.to.springtime	partly.wintergreen	pre.summergreen	wintergreen	without.green.leaves..full.parasites.or.saprophytes.	by.seed.and.vegetatively	by.seed.by.spore	mostly.by.seed.and.rarely.vegetatively	mostly.vegetatively.and.rarely.by.seed	vegetatively	bulb	fleshy.basal.leaves	hypocotyl.tuber	inconspicuous.reserve.organ	many.thick.non.lignified.roots	no.special.organ.to.store.energy	rhizome.tuber	rhizome.with.fleshy.organs	root.swelling	root.tuber	thick.lignified.main.roots	thick.rhizome	above.ground.runners	above.ground.shoots	basal.lateral.shoots	below.ground.runners	bulbils	bulbs	creeping.rhizome	creeping.shoots.or.espaliers	cushions	no.vegetative.dispersal.parts	root.shoots	tussocks..tufts
786	Achillea_millefolium	C	C1	C1	1	7	6.70820393249937	6	403.428793492735	3	7	0.174206060606061	4.565	18.68	15.2344444444444	NA	256.05	NA	4.33333333333333	NA	4.66666666666667	7	m	seed	nopers	animal	sp	Achene	corymb	3	Chlorophyllian	2.5	herb	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
6681	Anthyllis_montana	C	C1	C1	3	9	3.16227766016838	6	403.428793492735	3	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	m	NA	nopers	animal	sp	Pod	solitary	0	Chlorophyllian	NA	wood	1	0	0	1	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
11075	Cotoneaster_integerrimus	C	C1	C1	5	43	7.07106781186548	6	403.428793492735	2	7	42.61	2.57863375	16.305275776875	16.305275776875	342.038808	342.038808	NA	3	7	2	8	m	seed	nopers	animal	sp	Drupe	corymb	0	Chlorophyllian	4	wood	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
5897	Helianthemum_grandiflorum	C	C1	C1	3	NA	3.87298334620742	6	403.428793492735	3	8	1.59	NA	NA	12.49	NA	317.26	NA	NA	NA	NA	NA	NA	NA	pers	animal	sp	Capsule	cyme	2	Chlorophyllian	3	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
5924	Helianthemum_nummularium	C	C1	C1	3	55	4.18330013267038	6	403.428793492735	3	8	0.943866666666667	1.19384148153333	21.2296742690909	17.9686832883916	199.9610612	231.9805306	6	3.5	7	1.5	7	m	seed	pers	animal	sp	Capsule	NA	2	Chlorophyllian	NA	wood	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
7033	Hippocrepis_comosa	C	C1	C1	3	18	3.16227766016838	6	403.428793492735	3	7	3.69443333333333	2.32	15.3533333333333	14.8766666666667	242.895	233.9475	5	3	7.5	2	7	m	seed	nopers	animal	sp	Pod	umbel	2	Chlorophyllian	3	herb	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
4826	Lonicera_caerulea	C	C1	C1	11	97	8.36660026534076	6	403.428793492735	2	6	30.5735	NA	13.5	13.5	NA	NA	3	8	2	2	5	s	seed	nopers	animal	sp	Berry	cyme	0	Chlorophyllian	NA	wood	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
8693	Origanum_vulgare	C	C1	NA	3	8	6.32455532033676	1	2.71828182845905	3	7	0.0954588235294118	5.11	20.49	23.2783333333333	NA	233	NA	3.5	7.5	3.5	6	m	seed	nopers	animal	su	Achene	solitary	2	Chlorophyllian	3	herb	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0
11256	Potentilla_neumanniana	C	C1	C1	3	NA	2.23606797749979	1	2.71828182845905	3	7	0.915	NA	NA	NA	NA	NA	NA	3	8	1	7	m	NA	nopers	animal	sp	Achene	cyme	2	Chlorophyllian	NA	herb	1	0	0	1	0	0	0	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
11573	Rubus_idaeus	C	C1	C1	3	12	9.08295106229247	6	403.428793492735	2	6	60.3177869565217	29.7	24.5633333333333	24.2116666666667	NA	277.76	NA	NA	NA	5.66666666666667	6	m	NA	nopers	animal	sp	Drupe	raceme	1	Chlorophyllian	3	wood	1	0	0	0	0	1	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
