	C1_ruderal	C2_VaccUli	C3_cushion	C4_shrubs	C5_CallVulg	C6_VaccMyrt	H1_alpines	H10_megaph	H2_dryGrass	H3_coolGrass	H4_undergrowth	H5_poorGrass	H6_megaph	H7_rocks	H8_notgraz	H9_NardStri	P1_ubacPion	P2_river	P3_ubac2	P4_larix	P5_alpext	P6_alpint	P7_acer	P8_BetAlb
PROP_KILLED_mowing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROP_KILLED_graz1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROP_KILLED_graz2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROP_KILLED_graz3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BREAK_AGE_mowing_1to2	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1
BREAK_AGE_mowing_2to3	5	4	6	10	8	8	4	4	3	3	4	4	4	4	4	4	10	3	9	5	8	10	4	3
BREAK_AGE_mowing_3to4	26	18	44	10	38	91	10	8	9	8	6	6	7	6	7	8	10	3	9	5	8	10	4	3
BREAK_AGE_graz1_1to2	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1
BREAK_AGE_graz1_2to3	5	4	6	10	8	8	4	4	3	3	4	4	4	4	4	4	10	3	9	5	8	10	4	3
BREAK_AGE_graz1_3to4	26	18	44	10	38	91	10	8	9	8	6	6	7	6	7	8	10	3	9	5	8	10	4	3
BREAK_AGE_graz2_1to2	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1
BREAK_AGE_graz2_2to3	5	4	6	10	8	8	4	4	3	3	4	4	4	4	4	4	10	3	9	5	8	10	4	3
BREAK_AGE_graz2_3to4	26	18	44	10	38	91	10	8	9	8	6	6	7	6	7	8	10	3	9	5	8	10	4	3
BREAK_AGE_graz3_1to2	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1
BREAK_AGE_graz3_2to3	5	4	6	10	8	8	4	4	3	3	4	4	4	4	4	4	10	3	9	5	8	10	4	3
BREAK_AGE_graz3_3to4	26	18	44	10	38	91	10	8	9	8	6	6	7	6	7	8	10	3	9	5	8	10	4	3
RESPR_AGE_mowing_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RESPR_AGE_mowing_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RESPR_AGE_mowing_3	3	2	4	8	6	6	2	2	1	1	2	2	2	2	2	2	10	3	9	5	8	10	4	3
RESPR_AGE_mowing_4	26	18	44	157	38	91	10	8	9	8	6	6	7	6	7	8	192	176	350	599	449	159	309	99
RESPR_AGE_graz1_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RESPR_AGE_graz1_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RESPR_AGE_graz1_3	3	2	4	8	6	6	2	2	1	1	2	2	2	2	2	2	10	3	9	5	8	10	4	3
RESPR_AGE_graz1_4	26	18	44	157	38	91	10	8	9	8	6	6	7	6	7	8	192	176	350	599	449	159	309	99
RESPR_AGE_graz2_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RESPR_AGE_graz2_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RESPR_AGE_graz2_3	3	2	4	8	6	6	2	2	1	1	2	2	2	2	2	2	10	3	9	5	8	10	4	3
RESPR_AGE_graz2_4	26	18	44	157	38	91	10	8	9	8	6	6	7	6	7	8	192	176	350	599	449	159	309	99
RESPR_AGE_graz3_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RESPR_AGE_graz3_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RESPR_AGE_graz3_3	3	2	4	8	6	6	2	2	1	1	2	2	2	2	2	2	10	3	9	5	8	10	4	3
RESPR_AGE_graz3_4	26	18	44	157	38	91	10	8	9	8	6	6	7	6	7	8	192	176	350	599	449	159	309	99
FATES_mowing_1_kill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	4	4	4	4	4	4
FATES_mowing_1_respr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_mowing_2_kill	4	4	4	4	4	4	0	0	0	0	0	0	0	0	0	0	4	4	4	4	4	4	4	4
FATES_mowing_2_respr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_mowing_3_kill	2	2	4	4	4	4	5	0	0	4	0	5	5	0	0	0	4	4	4	4	4	4	4	4
FATES_mowing_3_respr	2	2	0	0	0	0	2	3	3	0	3	2	2	3	3	3	0	0	0	0	0	0	0	0
FATES_mowing_4_kill	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
FATES_mowing_4_respr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_graz1_1_kill	1	1	0	4	0	1	1	1	1	1	0	1	1	0	0	1	4	4	6	4	0	0	5	4
FATES_graz1_1_respr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_graz1_2_kill	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
FATES_graz1_2_respr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_graz1_3_kill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_graz1_3_respr	2	2	0	0	0	1	2	2	2	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0
FATES_graz1_4_kill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_graz1_4_respr	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
FATES_graz2_1_kill	2	2	0	4	0	1	2	2	2	2	0	2	2	0	0	2	4	4	6	4	0	0	5	4
FATES_graz2_1_respr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_graz2_2_kill	2	2	0	0	0	1	2	2	2	2	0	2	2	0	0	2	0	0	0	2	0	0	0	0
FATES_graz2_2_respr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_graz2_3_kill	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_graz2_3_respr	4	4	0	0	0	3	4	4	4	4	0	4	4	0	0	4	0	0	0	0	0	0	0	0
FATES_graz2_4_kill	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
FATES_graz2_4_respr	2	2	0	0	0	2	2	2	2	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0
FATES_graz3_1_kill	3	3	0	4	0	2	3	3	3	3	0	3	3	0	0	3	4	4	6	4	5	4	5	4
FATES_graz3_1_respr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_graz3_2_kill	3	3	0	5	0	2	3	3	3	3	0	3	3	0	0	3	5	5	1	6	1	5	0	0
FATES_graz3_2_respr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATES_graz3_3_kill	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
FATES_graz3_3_respr	3	3	0	0	0	4	3	3	3	3	0	3	3	0	0	3	0	0	0	0	0	0	0	0
FATES_graz3_4_kill	2	2	0	0	0	1	2	2	2	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0
FATES_graz3_4_respr	2	2	0	0	0	2	2	2	2	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0
ACTIVATED_SEED_mowing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTIVATED_SEED_graz1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTIVATED_SEED_graz2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTIVATED_SEED_graz3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
