PFG_name	PFG	type	strata	disp	light	height	palatability	longevity	maturity	soil_contrib	soil_tol_min	soil_tol_max	tol
C1_ruderal	C1	C	1	6	7	27	3	27	5	24.172579	1.5	5	2
C2_VaccUli	C2	C	1	4	8	13	3	19	4	20.3363985	0.5	3.5	1
C3_cushion	C3	C	1	1	8	7	0	45	6	17.71806313	0.5	3.5	1
C4_shrubs	C4	C	2	6	6	209	2	158	10	23.88979269	1.5	4.5	2
C5_CallVulg	C5	C	1	6	6	76	0	39	8	12.41510293	1.5	2.5	1
C6_VaccMyrt	C6	C	1	7	6	18	2	92	8	13.51799593	1.5	2.5	1
H1_alpines	H1	H	1	3	8	17	3	11	4	24.34729793	0.5	5	2
H10_megaph	H10	H	1	7	6	100	3	9	4	34.16868867	3	5	3
H2_dryGrass	H2	H	1	6	7	42	3	10	3	26.2238622	1	6	3
H3_coolGrass	H3	H	1	7	7	50	3	9	3	25.77778774	2	6	3
H4_undergrowth	H4	H	1	3	5	76	0	7	4	27.74344182	2.5	4.5	3
H5_poorGrass	H5	H	1	3	7	40	3	7	4	22.83007103	1	4.5	2
H6_megaph	H6	H	1	3	6	73	3	8	4	25.86697693	1.5	4.5	3
H7_rocks	H7	H	1	5	6	19	0	7	4	26.13291027	0.5	4.5	2
H8_notgraz	H8	H	1	3	8	19	0	8	4	35.07710735	1.5	4.5	2
H9_NardStri	H9	H	1	7	8	19	3	9	4	23.95726025	1.5	5	2
P1_ubacPion	P1	P	3	6	6	1175	2	193	15	17.08892277	1	3.5	2
P2_river	P2	P	3	5	6	750	2	177	15	28.67575303	1.5	3.5	2
P3_ubac2	P3	P	4	4	5	1667	2	351	18	26.49615975	2	4	2
P4_larix	P4	P	5	6	7	2500	0	600	15	21.32387753	1.5	2.5	1
P5_alpext	P5	P	5	6	4	2500	2	450	25	18.31702521	2.5	3.5	2
P6_alpint	P6	P	4	4	8	1650	2	160	20	19.76668724	1.5	2.5	1
P7_acer	P7	P	3	4	5	600	2	310	15	26.2011525	2.5	3.5	2
P8_BetAlb	P8	P	3	4	7	800	2	100	15	23.13386976	3	3	2
