species	GROUP	height	dispersal	palatability	light
786	C	6.70820393249937	6	3	7
6681	C	3.16227766016838	6	3	8
11075	C	7.07106781186548	6	2	7
5897	C	3.87298334620742	6	3	8
5924	C	4.18330013267038	6	3	8
7033	C	3.16227766016838	6	3	7
4826	C	8.36660026534076	6	2	6
8693	C	6.32455532033676	1	3	7
11256	C	2.23606797749979	1	3	7
11573	C	9.08295106229247	6	2	6
11664	C	5	6	2	6
10118	C	4.47213595499958	6	3	8
8849	C	7.48331477354788	6	3	8
8863	C	3.46410161513775	6	3	7
8943	C	2.23606797749979	2	3	8
8948	C	3.39116499156263	6	3	7
13153	C	5	3	3	6
846	C	3.74165738677394	5	3	8
975	C	3.60555127546399	1	3	7
976	C	3.60555127546399	1	3	7
4969	C	2.91547594742265	1	3	7
4999	C	1.4142135623731	6	3	8
5025	C	2.44948974278318	1	3	8
5029	C	2.64575131106459	6	3	8
5059	C	1.73205080756888	4	3	8
16358	C	7.07106781186548	3	3	8
2543	C	3.46410161513775	1	3	8
10192	C	5	4	3	8
12055	C	8.36660026534076	5	2	8
12057	C	10	5	2	7
12130	C	3.87298334620742	1	3	7
12236	C	2	1	3	7
6190	C	3.16227766016838	4	3	9
8939	C	2.23606797749979	6	3	8
6493	C	4.47213595499958	6	2	8
10289	C	2.44948974278318	1	0	8
10297	C	1.73205080756888	1	1	8
11135	C	2.64575131106459	3	0	8
6413	C	3.87298334620742	6	0	8
3449	C	1.4142135623731	3	0	8
8239	C	2.82842712474619	2	0	7
5185	C	2.82842712474619	1	1	9
17314	C	6.32455532033676	6	0	8
4356	C	2.44948974278318	1	1	8
9962	C	2	3	0	6
10348	C	3	1	0	7
10352	C	4.24264068711928	1	1	7
10359	C	3.87298334620742	1	0	7
4361	C	2	1	1	8
6483	C	7.07106781186548	1	0	7
5327	C	1.4142135623731	1	1	8
5343	C	1.4142135623731	6	1	8
12060	C	1.4142135623731	5	0	8
12086	C	2	5	0	7
12087	C	1.4142135623731	5	0	7
12144	C	3	4	0	9
12178	C	2.82842712474619	4	0	8
6104	C	3.46410161513775	1	1	8
6107	C	2.23606797749979	1	1	8
6126	C	2.82842712474619	2	1	7
5361	C	2.82842712474619	1	0	8
5363	C	2.64575131106459	1	0	8
3316	C	14.142135623731	4	2	6
11038	C	15.8113883008419	6	2	8
6073	C	14.142135623731	6	2	6
6077	C	15.8113883008419	6	2	5
11102	C	17.3205080756888	6	3	7
17297	C	15.8113883008419	6	2	8
4837	C	11.4017542509914	6	2	5
8259	C	12.2474487139159	6	2	5
11422	C	12.2474487139159	6	2	5
