"PFG","no.species","GROUP","HEIGHT","DISPERSAL","PALATABILITY","LIGHT","NITROGEN","NITROGEN_TOLERANCE"
"C1",13,"Herbaceous",24,6,4,4,3,1
"C2",14,"Herbaceous",17,4,4,4,2,1
"C3",22,"Herbaceous",7,2,1,5,2,1
"C4",9,"Frutescent",224,6,3,3,5,1
"C5",2,"Frutescent",74,6,1,3,2,1
"C6",1,"Frutescent",10,7,3,2,3,1
"H1",53,"Herbaceous",11,4,4,4,3,1
"H10",1,"Herbaceous",150,7,4,4,7,2
"H2",22,"Herbaceous",28,7,4,4,5,1
"H3",16,"Herbaceous",31,7,4,3,6,1
"H4",6,"Herbaceous",145,2,1,2,6,1
"H5",23,"Herbaceous",26,4,4,4,3,1
"H6",23,"Herbaceous",47,4,4,3,5,1
"H7",12,"Herbaceous",17,5,1,3,4,1
"H8",4,"Herbaceous",12,4,1,5,3,1
"H9",4,"Herbaceous",14,7,4,4,4,1
"P1",6,"Frutescent",1066,6,3,3,4,1
"P2",2,"Frutescent",658,5,3,4,4,1
"P3",4,"Frutescent",2400,4,3,2,5,1
"P4",1,"Frutescent",3000,6,1,4,3,1
"P5",2,"Frutescent",3375,6,3,1,5,1
"P6",2,"Frutescent",550,5,3,4,4,1
"P7",1,"Frutescent",950,5,3,3,4,1
"P8",1,"unknown",NA,5,3,NA,5,NA
