"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"10113",15,2,89,0,0.5,1.19101123595506,377,"all"
"10328",62.5,1,209,4,0.5,3.46172248803828,486,"all"
"10377",15,3,50,0,0.5,1.92,195,"all"
"10502",87.5,1,104,6,3,7.73557692307692,285,"all"
"10512",15,3,49,0,0.5,1.94897959183673,322,"all"
"10559",3,10,59,0,0.5,0.923728813559322,222,"all"
"10622",15,3,33,0,0.5,2.5,204,"all"
"10646",37.5,1,37,1,0.5,3.28378378378378,383,"all"
"1076",37.5,1,52,1,0.5,2.15384615384615,241,"all"
"10799",15,13,176,0,3,2.84943181818182,377,"all"
"1081",87.5,1,111,21,3,12.0945945945946,193,"all"
"10845",37.5,3,151,3,3,4.6158940397351,258,"all"
"10889",87.5,1,123,3,0.5,3.7520325203252,336,"all"
"11038",62.5,1,60,2,0.5,3.41666666666667,262,"all"
"11057",62.5,1,97,9,3,6.04123711340206,203,"all"
"11102",37.5,1,148,1,0.5,2.46959459459459,373,"all"
"11139",87.5,9,208,51,3,16.1875,549,"all"
"11151",37.5,1,247,1,3,3.16396761133603,490,"all"
"11166",15,2,55,0,0.5,1.70909090909091,244,"all"
"11225",37.5,2,277,2,3,4.21841155234657,738,"all"
"11256",37.5,1,36,1,0.5,2.88888888888889,280,"all"
"11313",15,2,79,0,0.5,1.37341772151899,256,"all"
"11336",37.5,1,38,1,0.5,3.01315789473684,219,"all"
"11354",3,3,17,0,0.5,0.941176470588235,251,"all"
"11422",37.5,7,166,7,0.5,4.9066265060241,274,"all"
"11491",87.5,2,63,13,15,15.1269841269841,205,"all"
"11573",87.5,1,147,13,3,7.59523809523809,298,"all"
"11710",37.5,1,72,1,3,3.56944444444444,253,"all"
"11726",37.5,6,367,6,0.5,3.32425068119891,680,"all"
"11730",37.5,5,224,5,0.5,3.20535714285714,327,"all"
"11864",37.5,1,96,1,3,3.03645833333333,400,"all"
"11874",62.5,1,267,12,3,7.91760299625468,422,"all"
"11889",3,48,82,0,3,1.96341463414634,220,"all"
"1198",3,3,19,0,0.5,0.894736842105263,201,"all"
"12010",62.5,1,98,3,0.5,5.09183673469388,265,"all"
"12040",15,3,43,0,0.5,1.91860465116279,197,"all"
"12043",87.5,6,92,20,0.5,16.1032608695652,327,"all"
"12264",37.5,3,84,3,3,5.73214285714286,210,"all"
"1269",15,2,45,0,0.5,2.14444444444444,399,"all"
"12845",15,5,95,0,0.5,2.15789473684211,344,"all"
"12901",15,18,148,0,3,3.53040540540541,276,"all"
"13036",15,2,150,0,0.5,1.47666666666667,279,"all"
"13081",87.5,1,161,21,3,9,243,"all"
"13120",87.5,5,76,13,3,14.9210526315789,346,"all"
"13146",62.5,1,115,4,3,5.7304347826087,289,"all"
"13157",37.5,1,141,1,3,3.07801418439716,243,"all"
"13314",15,14,146,0,3,2.96917808219178,242,"all"
"1357",15,1,58,0,0.5,1.82758620689655,276,"all"
"13783",15,2,49,0,0.5,1.70408163265306,371,"all"
"13804",62.5,1,106,6,3,7.64622641509434,227,"all"
"13812",3,14,69,0,0.5,1.00724637681159,247,"all"
"13814",37.5,3,208,3,3,4.40144230769231,341,"all"
"13838",87.5,6,93,26,15,20.3225806451613,335,"all"
"13872",62.5,1,31,2,3,9.09677419354839,295,"all"
"13892",62.5,1,67,12,3,10.4402985074627,250,"all"
"13900",37.5,1,110,1,3,2.94090909090909,288,"all"
