CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	DISPERSAL	LIGHT	LIGHT_TOLERANCE	SOIL	SOIL_TOLERANCE	GRAZ_MOW_TOLERANCE	PALATABILITY
4				Herbaceous		3	1	4	1		
6		120	1200	Frutescent	4	3	1	3	1		3
13		150		Frutescent		3	1	2	1		
15		150		Frutescent		3	1	2	1		
16		150	700	Frutescent	6	3	1	2	1		
17		80	975	Frutescent	6	3	1	4	2		
19		500	950	Frutescent	5	3	1	2.5	1		3
22		150	2500	Frutescent	4	2	2	3	1		
23		600	2500	Frutescent	4	2	2	3	1		3
24				Frutescent		2	2	3	1		
26				unknown		4	1	3	1		
28	0		9	Herbaceous	6	2	2	3	1	1	
60				Herbaceous		4	1	4	1		
66			35	Herbaceous	7	5	1	3	1		
70				Herbaceous		4	1	4	1		
71			25	Herbaceous	7	4	1	4	1		
73				Herbaceous		4	1	4	1		
76				Herbaceous		4	1	4	1		
77				Herbaceous		4	1	4	1		
80				Herbaceous		4	1	4	1		
81			60	Herbaceous	7	4	1	4	1		
83			30	Herbaceous	7	4	1	4	1		
85				Herbaceous		4	1	4	1		
87			40	Herbaceous	7	4	1	4	1		
88			57.5	Herbaceous	7	4	1	4	1		
91				Herbaceous		4	1	4	1		
92				Herbaceous		4	1	4	1		
93				Herbaceous		4	1	4	1		
98				Herbaceous		4	1	3	1		
104			57	Herbaceous	7	4	1	4	2		
108				Herbaceous		4	1	4	1		
109				Herbaceous		4	1	4	1		
111				Herbaceous		4	1	4	1		
118			190	Frutescent	6	4	1	2	1		
120		12		Frutescent		4	1	2	1		
122		12	165	Frutescent	6	4	1	1.5	1		
127		100		Frutescent		4	1	3	1		
139	3		58	Herbaceous	7	2	2	4	1	3	4
140	1		51.5	Herbaceous	7	4	1	4	1		
144			80	Herbaceous	7	4	1	4	1		
149			55	Herbaceous	2	4	1	3.5	1		
154				Herbaceous		4	1	3	1		
156				Herbaceous		3	1	4	1	2	
161				unknown	3			3			
162			38	Herbaceous	6	3	1	4	1		
163			40	Herbaceous	2	3	1	5	1		
164				Herbaceous		3	1	5	1		
167			69	Herbaceous	2	2	2	3.5	1	3	
168				Herbaceous		3	2	4	1	4	
170			40	Herbaceous	7	5	1	3.5	1	2	
171	2		75	Herbaceous	7	3	2	4	1	4	
178				unknown		4	1	4	1		
182			26.5	Herbaceous	1	4	1	1.5	1		
184			42.5	Herbaceous	1	3	2	4	1		
188			20	Herbaceous	1	3	2	4	1		
190				unknown	7			3			4
192		2		Herbaceous		3	2	3	1	2	
193	6	10	51.5	Herbaceous		3	2	3	1	2	
197		7	10	Herbaceous	6	3	2	2	1	1	
199	3	5	8.3	Herbaceous	1	5	1	1.5	1		4
205			44	Herbaceous	3	4	1	3	1		
208		1	40	Herbaceous	7	4	1	4	2		
209			40	Herbaceous	2	4	1	3	1		
212				Herbaceous		4	1	3	1		
215			30	Herbaceous	7	4	1	3	1		
217				Herbaceous		4	1	3	1		
226			60	Herbaceous	2	3	1	3	1	2	
229		1	22.75	Herbaceous	1	5	1	1	1	1	
233			54	Herbaceous	2	3	2	1.5	1	2	
234				Herbaceous		3	2	1	1	2	
237			50	Herbaceous		3	2	1	1	2	
240			110	Frutescent	2	4	2	2	1		
241				Herbaceous		4	1	2	1	1	
247				Herbaceous		4	1	3	1		
249			53	Herbaceous	4	3	2	3	1		
251		6	30	Herbaceous	2	5	1	1.5	1		
252			70	Herbaceous	2	3	2	2	1	1	
254				Herbaceous		5	1	2	1	1	
255				Herbaceous		5	1	2	1	1	
256			12	Herbaceous	1	5	1	2	1	1	
257			30	Herbaceous	2	5	1	2	1	1	
258			70	Suffrutescent	2	4	2	2	1		
259			35	Herbaceous	7	4	1	3	1		
262		10	13.75	Herbaceous	2	4	1	1.5	1	1	
263				Herbaceous		4	1	3	1		
265			20	Herbaceous	2	4	1	3	1	1	
268				Herbaceous		5	1	2	1		
272		2	23.5	Herbaceous	7	4	1	3	1	3	4
273			30	Herbaceous	2	4	1	2.5	1		
284		1	19	Herbaceous	6	4	1	3	1		
290		6	48.975	Herbaceous	4	3	1	4	1	2	4
291				Herbaceous		3	2	5	1	2	
293			85	Herbaceous	2	4	2	4	1	2	
294	1		58	Herbaceous	1	3	1	4	1	4	
301			59	Herbaceous	2	3	2	4.5	1		
302	3	5	32	Herbaceous	4	4	2	3	1	3	4
304				Herbaceous		3	2	3	1	1	
308	1		132.5	Herbaceous	2	4	1	5	1	2	
310			28.5	Herbaceous	2	3	2	2	1		
315				Herbaceous		4	1	3	1		
321	1.5	5	51.5	Herbaceous	7	4	1	2.5	1	3	4
323				unknown							4
362		2	50	Herbaceous	4	4	1	4	1	1	
365		3	25	Herbaceous	6	4	1	2	1	1	
368			30	Herbaceous	6	4	1	2.5	1	1	
372		2	36.5	Herbaceous	2	4	1	3	1		
375			180	Herbaceous	2			3			
384				Herbaceous		3	1	2	1		
388			120	Herbaceous	2	4	1	3	1		
390				unknown		5	1	3	1		
391				unknown		4	1	3	1		
410	2.5		250	Herbaceous	3	3	1	4.5	2	3	
414			5.35	Herbaceous	3	5	1	1.5	1	2	
419	3	15	59	Herbaceous	7	3	2	3.5	1	4	4
420				Herbaceous		3	1	3	1	3	
423	3		150	Herbaceous	7	4	1	4	2	3	4
426				Herbaceous		4	1	3	1	3	
428				Herbaceous		4	2	4	1	3	
429				unknown	7						
433				Herbaceous		3	1	3	1	2	
437			21.5	Herbaceous	1	3	1	2	1	2	
438	3	6	63.5	Herbaceous		3	1	4	1	2	4
442				Herbaceous		3	1	2	1		
445		7	51.5	Herbaceous	3	5	1	1.5	1	2	
446	3		26	Herbaceous	3	4	1	1.5	1	2	4
449	3	5	44.65	Herbaceous	5	3	1	2.5	1	2	4
452			52.5	Herbaceous	3	3	1	2	1	2	
454				Herbaceous		3	1	2	1	2	
455				unknown				2			
457	3		24	Herbaceous	3	4	1	2	1	2	4
459				Herbaceous		3	1	3	1		
470		5		Herbaceous		4	1	3	1	3	
479	2	7	24	Herbaceous	7	4	1	2	1	3	4
484			60	Herbaceous	2	3	1	3	1	2	
487		5	80	Herbaceous	7	3	1	4	1	2	
488				Herbaceous		3	1	3	1		
490			30	Herbaceous	2	3	1	3.5	1	2	
491				Herbaceous		4	1	3	1	2	
492			50	Herbaceous	2	4	1	3	1	2	
493				unknown		4	1	4	1	2	
497			85	Herbaceous	2	4	1	3	1	2	
499			38	Herbaceous	7	4	1	3	1	2	
503				Herbaceous		3	2	3	1	2	
504			69	Herbaceous	7	4	1	3	1	2	
