numtaxon	genre	libcbna	
17343	Abies	Abies alba Miller	
23	Acer	Acer pseudoplatanus L.	
10920	Alchemilla	Alchemilla alpina L.	
11030	Alchemilla	Alchemilla vulgaris L.	
3316	Alnus	Alnus alnobetula (Ehrh.) C. Koch	
6684	Anthyllis	Anthyllis vulneraria L.	
6422	Arctostaphylos	Arctostaphylos uva-ursi (L.) Sprengel	
902	Arnica	Arnica montana L.	
NA	Aruncus	Aruncus dioicus (Walter) Fernald	11057
190	Astrantia	Astrantia major L.	
4692	Campanula	Campanula rotundifolia L.	
3941	Cardamine	Cardamine pentaphyllos (L.) Crantz	
NA	Carduus	Carduus defloratus L. subsp. defloratus	40190
14098	Carex	Carex sempervirens Vill. subsp. sempervirens	
1388	Centaurea	Centaurea uniflora Turra subsp. nervosa (Willd.) Bonnier & Layens	
294	Chaerophyllum	Chaerophyllum hirsutum L.	
NA	Crocus	Crocus vernus (L.) Hill	14471
15813	Dactylis	Dactylis glomerata L.	
15840	Deschampsia	Deschampsia cespitosa (L.) P. Beauv. subsp. cespitosa	
9271	Epilobium	Epilobium angustifolium L.	
7895	Fagus	Fagus sylvatica L.	
16151	Festuca	Festuca ovina L.	
16219	Festuca	Festuca rubra L.	
11139	Filipendula	Filipendula ulmaria (L.) Maxim.	
11151	Fragaria	Fragaria vesca L.	
9369	Fraxinus	Fraxinus excelsior L.	
11874	Galium	Galium odoratum (L.) Scop.	
8077	Gentiana	Gentiana purpurea L.	
8218	Geranium	Geranium sylvaticum L.	
11160	Geum	Geum montanum L.	
8244	Globularia	Globularia nudicaulis L.	
721	Hedera	Hedera helix L.	
5924	Helianthemum	Helianthemum nummularium (L.) Miller	
419	Heracleum	Heracleum sphondylium L.	
2144	Hieracium	Hieracium murorum L.	
16372	Hordelymus	Hordelymus europaeus (L.) C.O. Harz	
8351	Hypericum	Hypericum richeri Vill.	
17297	Juniperus	Juniperus communis L.	
6273	Knautia	Knautia arvensis (L.) Coulter	
449	Laserpitium	Laserpitium latifolium L.	
7107	Lathyrus	Lathyrus pratensis L.	
2509	Leontodon	Leontodon hispidus L.	
4837	Lonicera	Lonicera xylosteum L.	
7147	Lotus	Lotus corniculatus L.	
NA	Luzula	Luzula sylvatica (Hudson) Gaudin	14722
16504	Melica	Melica uniflora Retz.	
6653	Mercurialis	Mercurialis perennis L.	
16538	Nardus	Nardus stricta L.	
7378	Onobrychis	Onobrychis montana DC.	
8697	Origanum	Origanum vulgare L. subsp. vulgare	
4776	Phyteuma	Phyteuma spicatum L.	
17363	Picea	Picea abies (L.) Karsten	
9618	Plantago	Plantago atrata Hoppe subsp. atrata	
9962	Polygala	Polygala chamaebuxus L.	
10106	Polygonum	Polygonum viviparum L.	
11225	Potentilla	Potentilla erecta (L.) Räuschel	
10590	Pulsatilla	Pulsatilla alpina (L.) Delarbre	
10799	Ranunculus	Ranunculus tuberosus Lapeyr.	
12696	Rhinanthus	Rhinanthus alectorolophus (Scop.) Pollich	
6483	Rhododendron	Rhododendron ferrugineum L.	
11417	Rosa	Rosa montana Chaix	
40623	Rubus	Rubus fruticosus groupe	
10182	Rumex	Rumex pseudalpinus Hofft	
10130	Rumex	Rumex arifolius All.	
8742	Salvia	Salvia pratensis L.	
4839	Sambucus	Sambucus nigra L.	
11710	Sanguisorba	Sanguisorba minor Scop.	
12264	Saxifraga	Saxifraga rotundifolia L.	
6207	Sempervivum	Sempervivum tectorum L.	
2942	Serratula	Serratula tinctoria L.	
16860	Sesleria	Sesleria caerulea (L.) Ard., non sensu 4	
5399	Silene	Silene dioica (L.) Clairv.	
11732	Sorbus	Sorbus chamaemespilus (L.) Crantz	
3116	Taraxacum	Taraxacum officinale Weber	
40603	Thymus	Thymus serpyllum groupe	
7590	Trifolium	Trifolium badium Schreber	
7680	Trifolium	Trifolium pratense L.	
13120	Urtica	Urtica dioica L.	
6490	Vaccinium	Vaccinium myrtillus L.	
6492	Vaccinium	Vaccinium uliginosum L.	
40566	Vaccinium	Vaccinium vitis-idaea L.	
13153	Valeriana	Valeriana montana L.	
14859	Veratrum	Viburnum lantana L.	
