numtaxon	libcbna	frequence.in.sequence	occurrence.in.feces	familles	pal	group
3317	Alnus alnobetula (Ehrh.) C. Koch subsp. alnobetula	1.15	9.56	Betulaceae	4	P5
6684	Anthyllis vulneraria L.	0.57	8.65	Fabaceae	4	H7
902	Arnica montana L.	0.233636363636364	2.52454545454545	Asteraceae	2	H5
11057	Aruncus dioicus (Walter) Fernald	1.31	6.22	Rosaceae	3	H6
190	Astrantia major L.	0.26	2.428	Apiaceae	2	H2
40190	Carduus defloratus L. subsp. defloratus	0.233636363636364	2.52454545454545	Asteraceae	2	H5
1388	Centaurea uniflora Turra subsp. nervosa (Willd.) Bonnier & Layens	0.233636363636364	2.52454545454545	Asteraceae	2	H5
294	Chaerophyllum hirsutum L.	0.26	2.428	Apiaceae	2	H5
1535	Cirsium palustre (L.) Scop.	0.233636363636364	2.52454545454545	Asteraceae	2	H4
11102	Crataegus monogyna Jacq.	1.41416666666667	3.98333333333333	Rosaceae	4	C1
9271	Epilobium angustifolium L.	1.91	9.26	Onagraceae	5	H5
11139	Filipendula ulmaria (L.) Maxim.	1.41416666666667	3.98333333333333	Rosaceae	4	H1
11151	Fragaria vesca L.	1.41416666666667	3.98333333333333	Rosaceae	4	H7
8218	Geranium sylvaticum L.	5.34	33.84	Geraniaceae	5	H2
8244	Globularia nudicaulis L.	2.45	21.24	Plantaginaceae	5	H5
5924	Helianthemum nummularium (L.) Miller	27.34	63.58	Cistaceae	5	C2
419	Heracleum sphondylium L.	0.26	2.428	Apiaceae	2	H2
2144	Hieracium murorum L.	0.233636363636364	2.52454545454545	Asteraceae	2	H6
2393	Homogyne alpina (L.) Cass.	0.233636363636364	2.52454545454545	Asteraceae	2	H5
8351	Hypericum richeri Vill.	0.94	11.68	Hypericaceae	5	H5
17297	Juniperus communis L.	1.78	9.41	Cupressaceae	5	P2
449	Laserpitium latifolium L.	0.26	2.428	Apiaceae	2	H5
7107	Lathyrus pratensis L.	0.8	7.74	Fabaceae	4	H7
2509	Leontodon hispidus L.	0.62	9.71	Asteraceae	4	H1
2548	Leucanthemum adustum (Koch) Gremli	0.233636363636364	2.52454545454545	Asteraceae	2	H3
7147	Lotus corniculatus L.	7.62	54.02	Fabaceae	5	H7
7378	Onobrychis montana DC.	8.78	36.72	Fabaceae	5	H2
561	Pimpinella major (L.) Hudson	0.26	2.428	Apiaceae	2	H2
10106	Polygonum viviparum L.	0.53	7.59	Polygonaceae	4	H1
11225	Potentilla erecta (L.) Räuschel	1.41416666666667	3.98333333333333	Rosaceae	4	H1
2740	Prenanthes purpurea L.	0.233636363636364	2.52454545454545	Asteraceae	2	H6
40623	Rubus fruticosus groupe	1.41416666666667	3.98333333333333	Rosaceae	4	C1
10182	Rumex pseudalpinus Höfft	3.4	23.37	Polygonaceae	5	H3
11710	Sanguisorba minor Scop.	1.41416666666667	3.98333333333333	Rosaceae	4	H1
2942	Serratula tinctoria L.	0.233636363636364	2.52454545454545	Asteraceae	2	H5
2957	Solidago gigantea Aiton	0.233636363636364	2.52454545454545	Asteraceae	2	H4
11726	Sorbus aria (L.) Crantz	1.41416666666667	3.98333333333333	Rosaceae	4	P1
11729	Sorbus aucuparia L.	1.41416666666667	3.98333333333333	Rosaceae	4	P1
11732	Sorbus chamaemespilus (L.) Crantz	1.41416666666667	3.98333333333333	Rosaceae	4	P2
6490	Vaccinium myrtillus L.	1.65	11.23	Ericaceae	5	C2
6492	Vaccinium uliginosum L.	1.98	7.89	Ericaceae	5	C2
