"NAME" "C1" "C2" "H1" "H2" "H3" "H4" "H5" "H6" "H7" "H8" "P1" "P2" "P3" "P4" "P5" "P6"
"BREAK_AGE_mowing_1to2" "1" "1" "298" "298" "298" "298" "298" "298" "298" "298" "1" "1" "1" "1" "1" "1"
"BREAK_AGE_mowing_2to3" "1" "6" "3" "3" "3" "2" "3" "2" "2" "5" "7" "16" "23" "16" "6" "12"
"BREAK_AGE_mowing_3to4" "1" "87" "8" "7" "10" "3" "7" "4" "8" "8" "7" "16" "23" "16" "6" "12"
"BREAK_AGE_graz1_1to2" "1" "1" "298" "298" "298" "298" "298" "298" "298" "298" "1" "1" "1" "1" "1" "1"
"BREAK_AGE_graz1_2to3" "1" "6" "3" "3" "3" "2" "3" "2" "2" "5" "7" "16" "23" "16" "6" "12"
"BREAK_AGE_graz1_3to4" "1" "87" "8" "7" "10" "3" "7" "4" "8" "8" "7" "16" "23" "16" "6" "12"
"RESPR_AGE_mowing_1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"RESPR_AGE_mowing_2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"RESPR_AGE_mowing_3" "1" "298" "298" "298" "298" "1" "298" "1" "298" "298" "7" "16" "23" "16" "6" "12"
"RESPR_AGE_mowing_4" "149" "87" "8" "7" "10" "3" "7" "4" "8" "8" "171" "215" "598" "448" "62" "198"
"RESPR_AGE_graz1_1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"RESPR_AGE_graz1_2" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"RESPR_AGE_graz1_3" "1" "298" "298" "298" "298" "1" "298" "1" "298" "298" "7" "16" "23" "16" "6" "12"
"RESPR_AGE_graz1_4" "149" "87" "8" "7" "10" "3" "7" "4" "8" "8" "171" "215" "598" "448" "62" "198"
"FATES_mowing_1_kill" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "8" "8" "8" "8" "8" "8"
"FATES_mowing_1_respr" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FATES_mowing_2_kill" "10" "10" "0" "0" "0" "0" "0" "0" "0" "0" "10" "10" "10" "10" "10" "10"
"FATES_mowing_2_respr" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FATES_mowing_3_kill" "5" "5" "4" "4" "4" "4" "4" "4" "4" "4" "10" "10" "10" "10" "10" "10"
"FATES_mowing_3_respr" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FATES_mowing_4_kill" "10" "10" "10" "10" "10" "10" "10" "10" "10" "10" "10" "10" "10" "10" "10" "10"
"FATES_mowing_4_respr" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FATES_graz1_1_kill" "0" "0" "1" "1" "1" "1" "1" "0" "1" "1" "10" "10" "10" "10" "10" "5.5"
"FATES_graz1_1_respr" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FATES_graz1_2_kill" "0" "0" "1" "1" "1" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0.5"
"FATES_graz1_2_respr" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FATES_graz1_3_kill" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FATES_graz1_3_respr" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FATES_graz1_4_kill" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FATES_graz1_4_respr" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"PROP_KILLED_mowing" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"PROP_KILLED_graz1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"ACTIVATED_SEED_mowing" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"ACTIVATED_SEED_graz1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
