"NAME" "ACTIVE_GERM_for_L" "ACTIVE_GERM_for_M" "ACTIVE_GERM_for_H" "SHADE_TOL_for_GeL" "SHADE_TOL_for_GeM" "SHADE_TOL_for_GeH" "SHADE_TOL_for_ImL" "SHADE_TOL_for_ImM" "SHADE_TOL_for_ImH" "SHADE_TOL_for_MaL" "SHADE_TOL_for_MaM" "SHADE_TOL_for_MaH"
"CH1" "5" "8" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"CH2" "5" "8" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"CH3" "5" "8" "9" "1" "1" "0" "1" "1" "0" "1" "1" "0"
"CH4" "5" "8" "9" "1" "1" "0" "1" "1" "0" "1" "1" "0"
"CS1" "9" "9" "9" "1" "1" "0" "1" "1" "0" "1" "1" "1"
"CS2" "9" "9" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"CS3" "9" "9" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"CS4" "9" "9" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"GH1" "5" "8" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"GH2" "5" "8" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"GH3" "5" "8" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"GH4" "5" "8" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"GH5" "5" "8" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"GH6" "5" "8" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"P1" "9" "9" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"P2" "9" "9" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"P3" "9" "9" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"P4" "9" "9" "9" "1" "1" "1" "0" "1" "1" "0" "1" "1"
"P5" "9" "9" "9" "1" "1" "0" "1" "1" "1" "1" "1" "1"
