"NAME" "SOIL_CONTRIB" "SOIL_LOW" "SOIL_HIGH" "ACTIVE_GERM_for_L" "ACTIVE_GERM_for_M" "ACTIVE_GERM_for_H" "SOIL_TOL_for_GeL" "SOIL_TOL_for_GeM" "SOIL_TOL_for_GeH" "SOIL_TOL_for_ImL" "SOIL_TOL_for_ImM" "SOIL_TOL_for_ImH" "SOIL_TOL_for_MaL" "SOIL_TOL_for_MaM" "SOIL_TOL_for_MaH"
"C1" "3" "1.8" "4.2" "9" "10" "9" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"C2" "2" "1" "3" "9" "10" "9" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"H1" "2.5" "1.5" "3.5" "8" "10" "5" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"H2" "2.9" "1.9" "4" "8" "10" "5" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"H3" "2.9" "1.9" "3.9" "8" "10" "5" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"H4" "3.3" "2" "4.6" "8" "10" "5" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"H5" "2.4" "1.4" "3.4" "8" "10" "5" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"H6" "3.2" "2.2" "4.2" "8" "10" "5" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"H7" "2.9" "1.6" "4.1" "8" "10" "5" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"H8" "2.7" "1.7" "3.7" "8" "10" "5" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"P1" "2.8" "1.8" "3.8" "9" "10" "9" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"P2" "2.8" "1.8" "3.8" "9" "10" "9" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"P3" "3" "2" "4" "9" "10" "9" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"P4" "3" "2" "4" "9" "10" "9" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"P5" "4" "3" "5" "9" "10" "9" "1" "10" "0" "5" "10" "4" "9" "10" "8"
"P6" "3" "1" "5" "9" "10" "9" "1" "10" "0" "5" "10" "4" "9" "10" "8"
