"NAME" "TYPE" "LONGEVITY" "MATURITY" "STRATA" "MAX_ABUNDANCE" "IMM_SIZE" "CHANG_STR_AGES_to_str_1_0" "CHANG_STR_AGES_to_str_2_50" "CHANG_STR_AGES_to_str_3_150" "CHANG_STR_AGES_to_str_4_400" "CHANG_STR_AGES_to_str_5_1000" "SEED_POOL_LIFE_active" "SEED_POOL_LIFE_dormant" "SEED_DORMANCY" "POTENTIAL_FECUNDITY"
"C1" "C" "152" "10" "4" "3" "5" "0" "1" "4" "18" "10000" "0" "0" "0" "100"
"C2" "C" "90" "6" "1" "1" "10" "0" "10000" "10000" "10000" "10000" "0" "0" "0" "100"
"H1" "H" "11" "3" "1" "1" "10" "0" "10000" "10000" "10000" "10000" "0" "0" "0" "100"
"H2" "H" "10" "3" "1" "1" "10" "0" "10000" "10000" "10000" "10000" "0" "0" "0" "100"
"H3" "H" "13" "3" "1" "1" "10" "0" "10000" "10000" "10000" "10000" "0" "0" "0" "100"
"H4" "H" "6" "2" "2" "1" "8" "0" "1" "10000" "10000" "10000" "0" "0" "0" "100"
"H5" "H" "10" "3" "1" "1" "10" "0" "10000" "10000" "10000" "10000" "0" "0" "0" "100"
"H6" "H" "7" "2" "2" "1" "8" "0" "1" "10000" "10000" "10000" "0" "0" "0" "100"
"H7" "H" "11" "2" "1" "1" "10" "0" "10000" "10000" "10000" "10000" "0" "0" "0" "100"
"H8" "H" "11" "5" "1" "1" "10" "0" "10000" "10000" "10000" "10000" "0" "0" "0" "100"
"P1" "P" "174" "87" "4" "3" "5" "0" "7" "21" "85" "10000" "0" "0" "0" "100"
"P2" "P" "218" "108" "3" "3" "5" "0" "16" "60" "10000" "10000" "0" "0" "0" "100"
"P3" "P" "601" "300" "5" "3" "1" "0" "23" "71" "195" "550" "0" "0" "0" "100"
"P4" "P" "451" "225" "5" "3" "1" "0" "16" "49" "135" "376" "0" "0" "0" "100"
"P5" "C" "65" "32" "3" "2" "5" "0" "6" "21" "10000" "10000" "0" "0" "0" "100"
"P6" "P" "201" "100" "3" "3" "5" "0" "12" "41" "10000" "10000" "0" "0" "0" "100"
