"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"10113",15,4,158,0,0.5,1.24683544303797,770,"all"
"10328",62.5,2,416,14,1.75,4.70432692307692,958,"all"
"10502",87.5,1,166,8,3,6.49096385542169,605,"all"
"10512",15,3,85,0,0.5,1.39411764705882,548,"all"
"10646",37.5,1,89,1,0.5,2.39887640449438,804,"all"
"10799",15,14,196,0,3,2.74744897959184,511,"all"
"10889",87.5,2,239,8,0.5,3.93305439330544,574,"all"
"11102",37.5,1,231,1,0.5,2.4047619047619,658,"all"
"11139",87.5,11,377,86,3,14.8249336870027,1067,"all"
"11151",37.5,1,356,1,0.5,2.50140449438202,863,"all"
"11225",37.5,5,517,5,3,4.23887814313346,1514,"all"
"11256",37.5,1,124,1,0.5,2.51612903225806,749,"all"
"11313",15,2,128,0,0.5,1.1171875,480,"all"
"11354",15,2,36,0,0.5,1.65277777777778,489,"all"
"11573",87.5,1,215,17,0.5,6.53953488372093,550,"all"
"11726",37.5,7,494,7,0.5,3.18927125506073,1041,"all"
"11730",37.5,6,318,6,0.5,2.79088050314465,560,"all"
"11864",37.5,1,180,1,0.5,2.85833333333333,721,"all"
"11874",62.5,3,343,18,3,7.95772594752187,591,"all"
"12010",87.5,1,155,5,0.5,4.6741935483871,471,"all"
"12043",87.5,8,154,27,0.5,13.0422077922078,541,"all"
"1269",15,13,96,0,0.5,3.32291666666667,711,"all"
"12845",15,5,133,0,0.5,1.7406015037594,563,"all"
"13120",87.5,5,131,19,3,11.6984732824427,664,"all"
"13146",62.5,1,182,4,3,4.91483516483517,526,"all"
"1357",15,3,96,0,0.5,1.890625,515,"all"
"13783",15,4,85,0,0.5,1.68235294117647,598,"all"
"13814",37.5,4,272,4,3,4.32352941176471,478,"all"
"13838",87.5,8,171,54,15,20.4883040935673,569,"all"
"13872",62.5,1,68,2,3,5.71323529411765,673,"all"
"13892",62.5,1,124,13,3,7.68145161290323,519,"all"
"13900",37.5,2,169,2,0.5,2.58579881656805,463,"all"
"13933",62.5,1,397,13,3,4.47607052896725,1818,"all"
"14009",62.5,3,236,13,3,7.37076271186441,615,"all"
"14054",62.5,5,303,35,3,9.74092409240924,812,"all"
"14098",87.5,2,181,71,15,22.4585635359116,465,"all"
"14114",62.5,1,217,4,0.5,2.57834101382488,644,"all"
"14144",87.5,8,97,33,3,22.5051546391753,246,"all"
"14249",62.5,16,128,55,15,22.87890625,359,"all"
"14607",62.5,1,35,3,3,7.24285714285714,557,"all"
"14645",87.5,7,214,90,15,25.3411214953271,535,"all"
"14863",3,27,51,0,3,1.82352941176471,553,"all"
"14871",37.5,1,84,1,0.5,1.4702380952381,744,"all"
"14950",15,10,118,0,0.5,2.53389830508475,615,"all"
"14965",15,1,150,0,0.5,1.26333333333333,1079,"all"
"14982",15,1,105,0,0.5,1.35238095238095,936,"all"
"15156",3,13,33,0,0.5,1.48484848484848,587,"all"
"15162",3,40,45,0,3,2.72222222222222,547,"all"
"15195",3,7,29,0,0.5,1.10344827586207,563,"all"
"15208",3,8,96,0,0.5,0.708333333333333,556,"all"
