"PFG","no.species","type","height","longevity","maturity","palatability","dispersal","light","soil_contrib","soil_tol_min","soil_tol_max"
"CH1",7,"H",19,9,2,"4","3","4",2.2,1.1,3.4
"CH2",3,"H",12,10,2,"4","7","4",1.8,0.8,2.8
"CH3",2,"H",20,18,2,"4","5","2",2.5,1.5,3.5
"CH4",2,"H",10,40,1,"4","4","2",3.2,2.2,4.2
"CS1",2,"C",850,233,116,NA,"5","2",3,1.5,4.5
"CS2",7,"C",87,73,4,"3","6","3",2.6,1.5,3.8
"CS3",4,"C",138,28,10,"3","6","3",3,2,4
"CS4",2,"C",350,310,155,"3","6","3",2.5,1.5,3.5
"GH1",17,"H",29,6,3,"4","6","4",2.8,1.6,4.1
"GH2",20,"H",37,10,4,"4","5","3",2.5,1.5,3.6
"GH3",3,"H",28,20,3,"4","6","3",2.5,1.5,3.5
"GH4",31,"H",37,7,3,"4","6","3",2.6,1.5,3.7
"GH5",1,"H",80,5,2,NA,"3","3",4,3,5
"GH6",11,"H",52,5,2,"4","5","3",2.8,1.8,3.8
"P1",3,"P",2617,1500,3,"3","6","3",2.5,1.5,3.5
"P2",6,"P",1129,234,6,"3","5","3",3.2,2,4.3
"P3",1,"P",250,250,125,"3","6","3",2.5,1.5,3.5
"P4",7,"P",1004,170,5,"3","6","3",2.6,1.6,3.6
"P5",2,"P",3750,550,275,"3","6","2",2.5,1.5,3.5
