CODE_CBNA	AGEFLOW_MAX	AGEFLOW_MIN	APOM	CATTLE	CHANGE_TENDENCY_INDK	CLONAab	CLONAbel	CLONRATE	CNRATIO	C_Plant	DEER	DIASPTYPE	DICH	DISP	DISP_INDK	DISP_VITTOZ	DNA	DOM_IN_SITU_INDK	ECOLOGICAL_GRP_INDK	ELLAER_INDK	ELLAER_INDK_VAR	ELLCONT	ELLCONT_INDK	ELLCONT_INDK_VAR	ELLHUMUS_INDK	ELLHUMUS_INDK_VAR	ELLLITE	ELLLITE_INDK	ELLLITE_INDK_VAR	ELLMOIST	ELLMOIST_INDK	ELLMOIST_INDK_VAR	ELLMOISTVAR_INDK	ELLNIT	ELLNIT_INDK	ELLNIT_INDK_VAR	ELLPH	ELLREAC_INDK	ELLREAC_INDK_VAR	ELLSALT	ELLSALT_INDK	ELLTEMP	ELLTEMP_INDK	ELLTEMP_INDK_VAR	ENDEM	FECUNDITY	FLONSET_BEG_INDK	FLONSET_END_INDK	FRUIT	GERMRATE	GERMREQ	GRAZ	GROWTHF	IMMIG_INVASIV_INDK	INFLO_DETAIL	INFLO_SIMPLE	L_ANAT	L_ANGLE	L_AREA	LATSPR	LCCp	LD13C	LD15N	LDMC	L_DRYM	Leaf_T_Strength	L_FORM	L_FRESHM	LHIST	LIFESPAN	LKC	L_LONG	LNC	LPC	LPERST_INDK	L_THICK	MAN_INFLUENCE_INDK	MAX_AGE	MEDIC_POISON_FX_INDK	MOW	MOW_TOLERANCE_INDK	MYCORR	NATURAL	NBCHROM	N_Plant	NUTR	Palatability	PL_H_flora_MIN	PLOIDY	PL_REPR_H	PL_VEG_H	PL_VEG_H_max	POLL_2ND_INDK	POLL_MAIN_INDK	REPROD_INDK	REPSTRAT	ROOT_DEPTH_INDK	ROOTMET	ROSET	SEEDH	SEEDL	SEED_LONGEVITY_INDK	SEEDM	SEEDPROD	SEEDW	SLA	STORAGE_ORGANS_INDK	STRAT_INDK	TAPROOT	VEG_DISP	WOODY
13					=										meteorochory			scattered		2	large variation (II)		3	small variation (I)	2	small variation (I)	6	3	small variation (I)		2	small variation (I)	1		2	small variation (I)		4	small variation (I)				4.5	small variation (I)			April	May						idiochorophytes or indigenes															Phanerophyte						decidous		moderately close to nature (moderately urbanophobous)	150	edible															entomogamous	unisexual and monoecious		3										thick lignified main roots	ccc		no vegetative dispersal parts	
15					=										meteorochory			scattered		2	large variation (II)		3	small variation (I)	2	small variation (I)		3	small variation (I)		2	small variation (I)	1		2	small variation (I)		4	small variation (I)				4.5	small variation (I)			April	May						idiochorophytes or indigenes															Phanerophyte						decidous		moderately close to nature (moderately urbanophobous)	150	edible															entomogamous	unisexual and monoecious		3										thick lignified main roots	ccc		no vegetative dispersal parts	
16					=									Wind dispersal	meteorochory	6		scattered		2	large variation (II)		3	small variation (I)	2	small variation (I)	6	3	small variation (I)		2	small variation (I)	1		2	small variation (I)		4	small variation (I)				4.5	small variation (I)			April	May	Samara					idiochorophytes or indigenes	corymb	corymb	mesomorphic_scleromorphic		12.01					0.205780944718998	0.02584		lobate	0.12707	Phanerophyte	pluriennial		summer green			decidous		moderately close to nature (moderately urbanophobous)	150	edible				Indigenous	13		Chlorophyllian		200	diploid		700	600		entomogamous	unisexual and monoecious		3		Erosulate plant							44.18994413	thick lignified main roots	ccc		no vegetative dispersal parts	Frutescent
19					=									Wind dispersal	meteorochory	5		scattered	forest plants	2	large variation (II)	4	3	small variation (I)	2	small variation (I)	5	3	small variation (I)	4	2	small variation (I)	1	6	2.5	small variation (I)	8	4	small variation (I)			8	4.5	small variation (I)		924	April	May	Samara					idiochorophytes or indigenes	corymb	corymb	mesomorphic										lobate		Phanerophyte	pluriennial		summer green			decidous		close to nature (strictly urbanophobous)	500	edible				Indigenous	13		Chlorophyllian	2	200	diploid		950	1000		entomogamous	unisexual and monoecious		3		Erosulate plant	3.25	24.45		100		8.9	17.68	thick lignified main roots	ccc		basal lateral shoots	Frutescent
22					=							generative dispersule_germinule_one-seeded generative dispersule	protandrous_protogynous	Wind dispersal	dysochory_meteorochory	4		scattered	forest plants	1	small variation (I)	4	3	small variation (I)	2	small variation (I)	4	2	large variation (II)	5	3	small variation (I)	1	7	3	small variation (I)	7	4	large variation (II)	0		6	4	small variation (I)			April	May	Samara		Chilling			idiochorophytes or indigenes	corymb	corymb	hygromorphic_mesomorphic		73.078166665					274			lobate		Phanerophyte	pluriennial	10.67	summer green	21.365	1.7775	decidous		indifferent (urbanoneutral)	150	edible			Arbuscular AM	Indigenous	13		Chlorophyllian		500	diploid	1750	2500	3000		anemogamous_entomogamous	unisexual and monoecious	Polycarpic	4		Erosulate plant	2.63	40.625		137.2		10.625	20.75	thick lignified main roots	ccc		basal lateral shoots	Frutescent
23		""			<		Roots with generative buds	10				generative dispersule_germinule_one-seeded generative dispersule	protandrous	Wind dispersal	meteorochory	4	2.4	in larger groups	forest plants	1	large variation (II)	4	2	small variation (I)	2	small variation (I)	4	2	large variation (II)	6	3.5	large variation (II)	3	7	3	small variation (I)	6	3	large variation (II)	0			3	large variation (II)		11880	April	May	Samara		Chilling			idiochorophytes or indigenes	raceme of uniparous scorpio-like cymes	raceme	mesomorphic		83.32		458.486595154			264			lobate		Phanerophyte	pluriennial	9.86	summer green	26.520543098	1.77	decidous		indifferent (urbanoneutral)	600	edible			Arbuscular AM	Indigenous	19.5		Chlorophyllian	2	500	tetraploid	1750	2500	3500		entomogamous	unisexual and monoecious	Polycarpic	3.5		Erosulate plant	4.75	32.8		84.19		13	16.18	thick lignified main roots	ccc		basal lateral shoots	Frutescent
24					<										meteorochory			scattered		2	small variation (I)		2	small variation (I)	2	small variation (I)		2	large variation (II)		3	small variation (I)	1		3	small variation (I)		3	small variation (I)				4.5	small variation (I)			March	April						neophytes															Phanerophyte						decidous		moderatly hemerobic (moderately urbanophilous)		edible															anemogamous	unisexual and monoecious		3										thick lignified main roots	ccc		basal lateral shoots	
26					<										endochory			scattered		2	small variation (I)		2	small variation (I)	2	small variation (I)		4	small variation (I)		3	small variation (I)	1		3	small variation (I)		3	small variation (I)				5	small variation (I)			June							neophytes															Climber_Phanerophyte						decidous		strictly hemerobic (strictly urbanophilous)																		hermaphroditic and normal sexual		3										thick lignified main roots	ccs		no vegetative dispersal parts	
28		0			>		Stem-derived corms/tubers	6				germinule	homogamous_protandrous_protogynous	Unassisted dispersal	dysochory_endochory	6	21.45	in larger groups	forest plants	1	small variation (I)	5	3	small variation (I)	2	large variation (II)	4	2	large variation (II)	5.5	3.5	large variation (II)	2	6.5	3	small variation (I)	6.5	4	small variation (I)	0			3	large variation (II)			March	May	Drupe		Chilling			idiochorophytes or indigenes	capitulum-like cyme	solitary	hygromorphic		19.51					135	0.04542195247		pinnate		Geophyte	pluriennial		spring green			pre-summergreen		moderately close to nature (moderately urbanophobous)				1		Indigenous	18		Chlorophyllian		7	diploid_tetraploid	10	9	13.5	autogamous	entomogamous	hermaphroditic and normal sexual	Polycarpic	1		Erosulate plant_Hemirosette plant	4.315	4.25		0.63		4.25	38.5	rhizome with fleshy organs	crs	no	below-ground runners	Herbaceous
60					<										epichory			scattered or in small groups	weeds and ruderal plants	1	small variation (I)		2	small variation (I)	2	small variation (I)		4	small variation (I)		3	small variation (I)	2		4	small variation (I)		3	small variation (I)		salt tolerant		4	small variation (I)			July	September						neophytes															Therophyte						decidous		strictly hemerobic (strictly urbanophilous)																		hermaphroditic and normal sexual												no special organ to store energy	rrr		no vegetative dispersal parts	
