code_cbna	libelle
23	Acer pseudoplatanus L.
586	Sanicula europaea L.
7895	Fagus sylvatica L.
8218	Geranium sylvaticum L.
9369	Fraxinus excelsior L.
11729	Sorbus aucuparia L.
13039	Daphne mezereum L.
13100	Ulmus glabra Hudson
14321	Cypripedium calceolus L.
14989	Neottia nidus-avis (L.) L.C.M. Richard
15851	Deschampsia flexuosa (L.) Trin.
1409	Chondrilla juncea L.
1706	Erigeron annuus (L.) Pers.
1865	Hieracium alpinum L. gr.
1869	Hieracium amplexicaule L. gr.
1887	Hieracium aurantiacum L.
1921	Hieracium bupleuroides C.C. Gmelin gr.
1977	Hieracium cydonifolium Vill. gr.
1978	Hieracium cymosum L.
2034	Hieracium glabratum Hoppe ex Willd. gr.
2042	Hieracium glaucopsis Gren. & Godron gr.
2044	Hieracium glaucum All. gr.
2060	Hieracium humile Jacq. gr.
2066	Hieracium intybaceum All.
2074	Hieracium juraniforme Zahn gr.
2080	Hieracium lachenalii C.C. Gmelin, sensu 3, 5, 6 gr. ar
2083	Hieracium lactucella Wallr.
2092	Hieracium laevigatum Willd. gr. gothicum
2124	Hieracium lycopsifolium Froelich gr.
2126	Hieracium maculatum Schrank [1789], non Sm. in Sowerby
2144	Hieracium murorum L.
2172	Hieracium pallidiflorum Jordan ex Ascherson gr.
2180	Hieracium peleterianum MÚrat
2197	Hieracium piliferum Hoppe gr.
2199	Hieracium pilosella L.
2209	Hieracium piloselloides Vill.
2225	Hieracium prenanthoides Vill. gr.
2253	Hieracium racemosum Waldst. & Kit. ex Willd. gr.
2256	Hieracium rapunculoides Arvet-Touvet gr.
2263	Hieracium rionii Gremli gr. caesioides
2279	Hieracium schmidtii Tausch gr.
2280	Hieracium scorzonerifolium Vill. gr.
2333	Hieracium umbellatum L. gr.
2334	Hieracium umbrosum Jordan gr.
2338	Hieracium valdepilosum Vill. gr.
2343	Hieracium villosum Jacq. gr.
2346	Hieracium virgultorum Jordan gr. sabaudum
2379	Hieracium x-niphostribes Peter
3076	Taraxacum erythrospermum Andrz. ex Besser gr.
3128	Taraxacum palustre (Lyons) Symons gr.
3733	Arabis hirsuta (L.) Scop.
6540	Euphorbia esula L.
8339	Hypericum perforatum L.
9409	Oxalis corniculata L.
9419	Oxalis fontana Bunge
10638	Ranunculus auricomus L.
10920	Alchemilla alpina L.
10942	Alchemilla conjuncta Bab.
10943	Alchemilla connivens Buser
10944	Alchemilla coriacea Buser
10947	Alchemilla crinita Buser
10952	Alchemilla fallax Buser
10953	Alchemilla filicaulis Buser
10956	Alchemilla firma Buser in Magnier
10957	Alchemilla fissa G³nther & Schummel
10958	Alchemilla flabellata Buser
10967	Alchemilla glabra Neygenf., non Poiret
10969	Alchemilla glaucescens Wallr.
10973	Alchemilla grossidens Buser
10982	Alchemilla incisa Buser
10998	Alchemilla monticola Opiz
11003	Alchemilla pallens Buser
11026	Alchemilla trunciloba Buser
11035	Alchemilla xanthochlora Rothm.
11075	Cotoneaster integerrimus Medik.
11082	Cotoneaster tomentosus Lindley
11200	Potentilla argentea L.
11202	Potentilla aurea L.
11219	Potentilla crantzii (Crantz) G. Beck ex Fritsch
11241	Potentilla inclinata Vill.
11491	Rubus caesius L.
11495	Rubus canescens DC.
11509	Rubus corylifolius Sm. gr.
11541	Rubus fruticosus L.
11565	Rubus hirtus Waldst. & Kit.
11666	Rubus scaber Weihe & Nees in Bluff & Fingerh.
11736	Sorbus mougeotii Soyer-Willemet & Godron
15949	Eragrostis cilianensis (All.) Janchen
15959	Eragrostis minor Host
15964	Eragrostis pilosa (L.)P. Beauv.
16538	Nardus stricta L.
16696	Poa alpina L.
16728	Poa compressa L.
16744	Poa glauca Vahl
16746	Poa humilis Ehrh. ex Hoffm.
16758	Poa nemoralis L.
16763	Poa palustris L.
16767	Poa pratensis L.
17570	Dryopteris affinis (Lowe) Fraser-Jenkins
17778	Phegopteris connectilis (Michaux) Watt
40028	Taraxacum alpinum (Hoppe) Hegetschw.
40244	Alchemilla alpigena Buser
40420	Hieracium pilosum Schleicher ex Froel. gr.
40444	Euphorbia dulcis subsp. incompta (Ces.) Nyman, 1890
40608	Alchemilla vulgaris groupe
139	Aegopodium podagraria L.
171	Anthriscus sylvestris (L.) Hoffm. subsp. sylvestris
193	Astrantia major L. subsp. major
237	Bupleurum falcatum L. subsp. falcatum
256	Bupleurum ranunculoides L. subsp. ranunculoides
272	Carum carvi L.
290	Chaerophyllum aureum L.
294	Chaerophyllum hirsutum L.
321	Daucus carota L.
365	Eryngium campestre L.
419	Heracleum sphondylium L.
479	Meum athamanticum Jacq.
515	Pastinaca sativa L.
561	Pimpinella major (L.) Hudson
564	Pimpinella saxifraga L.
609	Selinum carvifolium (L.) L.
618	Seseli annuum L. subsp. annuum
647	Silaum silaus (L.) Schinz & Thell.
846	Antennaria dioica (L.) Gaertner
883	Anthemis tinctoria L.
902	Arnica montana L.
980	Artemisia vulgaris L.
987	Aster amellus L.
1046	Bellis perennis L.
1076	Buphthalmum salicifolium L.
1124	Carduus crispus L. subsp. multiflorus (Gaudin) Gremli
1163	Carduus personata (L.) Jacq. subsp. personata
1198	Carlina vulgaris L. subsp. vulgaris
1269	Centaurea jacea L.
1294	Centaurea montana L.
1303	Centaurea nigra L.
1357	Centaurea scabiosa L.
1467	Cichorium intybus L.
1489	Cirsium acaule Scop.
1492	Cirsium arvense (L.) Scop.
1510	Cirsium eriophorum (L.) Scop.
1534	Cirsium oleraceum (L.) Scop.
1535	Cirsium palustre (L.) Scop.
1541	Cirsium rivulare (Jacq.) All.
1546	Cirsium tuberosum (L.) All.
1568	Conyza canadensis (L.) Cronq.
1591	Crepis aurea (L.) Cass.
1595	Crepis biennis L.
1601	Crepis capillaris (L.) Wallr.
1611	Crepis mollis (Jacq.) Ascherson
1615	Crepis paludosa (L.) Moench
1835	Helianthus tuberosus L.
2407	Hypochaeris maculata L.
2410	Hypochaeris radicata L.
2419	Inula conyza DC.
2430	Inula hirta L.
2435	Inula salicina L.
2501	Leontodon autumnalis L. subsp. autumnalis
2509	Leontodon hispidus L.
2532	Leontodon saxatilis Lam. subsp. saxatilis
2593	Leucanthemum vulgare Lam.
2620	Matricaria discoidea DC.
2718	Picris hieracioides L.
2749	Pulicaria dysenterica (L.) Bernh.
2805	Scorzonera humilis L.
2846	Senecio erraticus Bertol.
2929	Senecio vulgaris L. subsp. vulgaris
2942	Serratula tinctoria L.
2954	Solidago canadensis L.
2957	Solidago gigantea Aiton
2974	Solidago virgaurea L. subsp. virgaurea
2993	Sonchus palustris L.
3027	Tanacetum vulgare L.
3215	Tragopogon dubius Scop.
3233	Tragopogon pratensis L.
3244	Tussilago farfara L.
3317	Alnus alnobetula (Ehrh.) C. Koch subsp. alnobetula
3446	Echium vulgare L.
3475	Lithospermum officinale L.
