"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
40519,5,2,352,0,1,1.49147727272727,2938,"all"
12833,5,2,1288,0,1,1.50854037267081,9105,"all"
14671,4,5,217,0,1,1.45622119815668,1925,"all"
15666,5,45,2092,0,1,1.76959847036329,11033,"all"
10119,2,1,1,0,2,2,5,"all"
7609,3,3,66,0,1,1.3030303030303,706,"all"
15780,3,3,18,0,1.5,1.66666666666667,152,"all"
7951,NA,NA,NA,NA,NA,NA,6,"all"
16303,NA,NA,NA,NA,NA,NA,86,"all"
7449,NA,NA,NA,NA,NA,NA,7,"all"
6427,1,1,1,0,1,1,40,"all"
15465,NA,NA,NA,NA,NA,NA,5,"all"
7599,NA,NA,NA,NA,NA,NA,6,"all"
17039,3,2,4,0,2.5,2.25,57,"all"
5423,NA,NA,NA,NA,NA,NA,11,"all"
7116,4,4,47,0,1,1.53191489361702,825,"all"
5317,5,5,56,0,2,2.26785714285714,842,"all"
11881,4,5,293,0,2,1.67235494880546,2640,"all"
7726,5,1,86,0,1,1.53488372093023,1165,"all"
5299,NA,NA,NA,NA,NA,NA,18,"all"
5041,NA,NA,NA,NA,NA,NA,53,"all"
16716,5,6,457,0,2,1.9562363238512,2863,"all"
7817,2,3,6,0,1.5,1.5,408,"all"
16975,NA,NA,NA,NA,NA,NA,24,"all"
8417,1,3,3,0,1,1,60,"all"
15396,1,1,1,0,1,1,4,"all"
5979,1,2,2,0,1,1,22,"all"
3512,NA,NA,NA,NA,NA,NA,2,"all"
2509,4,3,261,0,1,1.3639846743295,3502,"all"
17552,4,1,24,0,1.5,1.70833333333333,82,"all"
7892,5,1,7,0,3,3,39,"all"
16505,4,1,17,0,2,2.05882352941176,316,"all"
7628,3,2,15,0,2,1.66666666666667,238,"all"
7586,5,2,238,0,1,1.77731092436975,2401,"all"
17024,NA,NA,NA,NA,NA,NA,7,"all"
4718,5,3,34,0,3.5,3.02941176470588,316,"all"
3707,NA,NA,NA,NA,NA,NA,2,"all"
11710,4,1,408,0,1,1.40196078431373,3164,"all"
2410,1,1,1,0,1,1,2,"all"
7859,3,5,177,0,1,1.22033898305085,2448,"all"
8948,3,1,130,0,1,1.19230769230769,2220,"all"
16219,5,1,47,0,2,2.29787234042553,440,"all"
5408,5,1,83,0,2,2.01204819277108,596,"all"
11046,1,2,2,0,1,1,34,"all"
3543,4,4,236,0,1,1.22881355932203,2675,"all"
4493,4,1,15,0,2,1.93333333333333,113,"all"
1626,3,5,74,0,1,1.24324324324324,611,"all"
11433,5,1,279,0,1,1.3010752688172,3789,"all"
7920,2,3,20,0,1,1.15,244,"all"
7907,1,7,7,0,1,1,61,"all"
4565,3,2,5,0,2,2,21,"all"
118,NA,NA,NA,NA,NA,NA,7,"all"
6848,2,1,37,0,1,1.02702702702703,295,"all"
13,3,3,83,0,1,1.30120481927711,1185,"all"
10892,2,2,14,0,1,1.14285714285714,211,"all"
3023,3,1,140,0,1,1.16428571428571,1818,"all"
15617,2,2,6,0,1,1.33333333333333,42,"all"
13960,5,1,11,0,1,1.90909090909091,67,"all"
11953,5,2,130,0,2,1.85384615384615,804,"all"
14977,2,1,31,0,1,1.03225806451613,905,"all"
8976,NA,NA,NA,NA,NA,NA,1,"all"
8611,NA,NA,NA,NA,NA,NA,2,"all"
738,4,3,307,0,1,1.35830618892508,2402,"all"
6522,NA,NA,NA,NA,NA,NA,20,"all"
12102,4,3,110,0,1,1.59090909090909,1250,"all"
3006,5,3,236,0,2,1.88983050847458,1778,"all"
13677,5,1,267,0,1,1.64794007490637,1337,"all"
13723,4,3,79,0,2,1.73417721518987,1312,"all"
5171,5,1,568,0,1,1.47887323943662,3707,"all"
15582,1,1,1,0,1,1,75,"all"
6987,1,2,2,0,1,1,41,"all"
122,NA,NA,NA,NA,NA,NA,6,"all"
17309,5,12,465,0,1,1.56774193548387,8997,"all"
13685,2,11,42,0,1,1.26190476190476,384,"all"
6908,NA,NA,NA,NA,NA,NA,1,"all"
4673,4,2,36,0,1,1.44444444444444,779,"all"
7035,5,6,775,0,1,1.39483870967742,8184,"all"
4829,3,1,92,0,1,1.30434782608696,884,"all"
11038,3,1,6,0,1,1.5,147,"all"
11734,NA,NA,NA,NA,NA,NA,20,"all"
6073,5,1,24,0,2,2.20833333333333,465,"all"
5853,3,2,2,0,3,3,88,"all"
7074,3,3,27,0,2,1.74074074074074,169,"all"
2040,4,6,450,0,1,1.38444444444444,6164,"all"
6798,3,2,2,0,3,3,25,"all"
8885,4,2,216,0,1,1.43981481481481,1663,"all"
5354,3,6,93,0,1,1.33333333333333,594,"all"
11828,NA,NA,NA,NA,NA,NA,2,"all"
9056,3,2,53,0,1,1.49056603773585,367,"all"
12600,4,12,516,0,1,1.61046511627907,3521,"all"
8891,5,3,620,0,1,1.46129032258065,5313,"all"
12109,4,1,85,0,1,1.57647058823529,967,"all"
6169,5,1,740,0,1,1.51891891891892,6190,"all"
5863,2,1,14,0,1,1.07142857142857,129,"all"
1850,5,3,525,0,2,1.9352380952381,4611,"all"
8583,NA,NA,NA,NA,NA,NA,8,"all"
16942,5,7,369,0,2,1.92140921409214,2252,"all"
6579,2,3,5,0,2,1.6,73,"all"
9068,4,3,29,0,2,1.96551724137931,254,"all"
8863,3,3,9,0,2,1.88888888888889,209,"all"
6720,5,2,55,0,2,2.21818181818182,141,"all"
445,3,2,60,0,1,1.31666666666667,474,"all"
7384,NA,NA,NA,NA,NA,NA,14,"all"
13933,1,19,19,0,1,1,62,"all"
6830,3,1,4,0,2,2,55,"all"
2852,3,2,11,0,1,1.54545454545455,134,"all"
15509,3,3,24,0,2,1.66666666666667,275,"all"
2463,5,2,71,0,2,2.26760563380282,1374,"all"
3446,3,1,2,0,2.5,2.5,54,"all"
11700,2,2,8,0,1,1.25,266,"all"
9571,4,2,34,0,1,1.47058823529412,406,"all"
10867,1,3,3,0,1,1,16,"all"
15713,NA,NA,NA,NA,NA,NA,3,"all"
15683,NA,NA,NA,NA,NA,NA,1,"all"
6253,4,1,295,0,1,1.28474576271186,2578,"all"
12791,3,5,341,0,1,1.18181818181818,4439,"all"
7276,3,2,18,0,1,1.55555555555556,58,"all"
1276,3,1,7,0,1,1.57142857142857,309,"all"
7561,4,7,254,0,1,1.4251968503937,1652,"all"
15259,NA,NA,NA,NA,NA,NA,3,"all"
6759,4,3,202,0,1,1.37128712871287,2147,"all"
40153,NA,NA,NA,NA,NA,NA,15,"all"
15654,3,1,8,0,1,1.5,58,"all"
17372,5,2,61,0,2,2.36065573770492,692,"all"
15753,3,8,27,0,2,1.92592592592593,140,"all"
1620,2,8,41,0,1,1.19512195121951,343,"all"
9070,NA,NA,NA,NA,NA,NA,1,"all"
1011,2,4,9,0,1,1.44444444444444,45,"all"
4081,3,2,43,0,1,1.3953488372093,321,"all"
19,5,3,225,0,1,1.35111111111111,2045,"all"
6966,2,12,32,0,1,1.375,164,"all"
11388,2,1,2,0,1.5,1.5,31,"all"
5466,1,2,2,0,1,1,125,"all"
1638,4,2,192,0,1,1.41145833333333,1378,"all"
