"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"Acer pseudoplatanus L.",87.5,2,33,11,15,18.9393939393939,33,"all"
"Achillea millefolium L.",37.5,20,61,20,0.5,13.5819672131148,62,"all"
"Agrostis capillaris L.",37.5,26,51,26,37.5,22.4901960784314,51,"all"
"Agrostis rupestris All.",37.5,6,29,6,0.5,10.6551724137931,29,"all"
"Agrostis stolonifera L.",37.5,25,42,25,37.5,24.9404761904762,42,"all"
"Alchemilla monticola Opiz",37.5,9,37,9,0.5,10.6756756756757,37,"all"
"Alnus alnobetula (Ehrh.) C. Koch subsp. alnobetula",87.5,1,21,10,15,27.5238095238095,21,"all"
"Antennaria dioica (L.) Gaertner",37.5,5,29,5,0.5,7.37931034482759,29,"all"
"Anthoxanthum odoratum L.",37.5,42,111,42,15,16.5900900900901,111,"all"
"Anthoxanthum odoratum L. subsp. nipponicum (Honda) Tzvelev",37.5,10,38,10,0.5,13.2894736842105,38,"all"
"Anthyllis vulneraria L.",37.5,10,32,10,0.5,12.96875,32,"all"
"Arnica montana L.",37.5,7,42,7,0.5,7.35714285714286,42,"all"
"Arrhenatherum elatius (L.) P. Beauv. ex J. & C. Presl subsp. elatius",37.5,9,30,9,15,15.4666666666667,30,"all"
"Aster bellidiastrum (L.) Scop.",37.5,13,30,13,15,18.95,30,"all"
"Avenula versicolor (Vill.) La.nz subsp. versicolor",37.5,13,36,13,7.75,15.875,36,"all"
"Bartsia alpina L.",37.5,18,46,18,0.5,16.2391304347826,46,"all"
"Brachypodium rupestre (Host) Roemer & Schultes",62.5,5,58,30,37.5,24.0431034482759,59,"all"
"Briza media L.",37.5,14,63,14,0.5,9.41269841269841,63,"all"
"Bromus erectus Hudson",87.5,1,72,46,37.5,30.8333333333333,74,"all"
"Calamagrostis varia (Schrader) Host subsp. varia",62.5,2,28,18,37.5,28.1428571428571,28,"all"
"Campanula barbata L.",37.5,6,32,6,0.5,8.34375,32,"all"
"Campanula rhomboidalis L.",37.5,7,44,7,0.5,8.69318181818182,44,"all"
"Campanula rotundifolia L.",37.5,2,44,2,0.5,2.18181818181818,44,"all"
"Campanula scheuchzeri Vill. subsp. scheuchzeri",37.5,7,52,7,0.5,5.48076923076923,52,"all"
"Carduus defloratus L. subsp. defloratus",37.5,4,32,4,0.5,5.578125,32,"all"
"Carex curvula All. subsp. curvula",62.5,3,24,12,26.25,25.75,24,"all"
"Carex davalliana Sm.",37.5,16,35,16,15,20.3142857142857,35,"all"
"Carex echinata Murray",37.5,33,58,33,37.5,22.301724137931,58,"all"
"Carex foetida All.",37.5,12,19,12,37.5,26.1578947368421,19,"all"
"Carex nigra (L.) Reichard",62.5,8,98,49,26.25,25.3316326530612,98,"all"
"Carex panicea L.",37.5,8,37,8,0.5,12.4189189189189,37,"all"
"Carex rostrata Stokes",62.5,2,48,29,37.5,26.0104166666667,48,"all"
"Carex sempervirens Vill. subsp. sempervirens",37.5,22,60,22,15,16.4833333333333,60,"all"
"Centaurea scabiosa L.",37.5,9,31,9,0.5,12.6451612903226,31,"all"
"Crepis pyrenaica (L.) W. Greuter",37.5,11,34,11,0.5,13.75,34,"all"
