"species","stat.abund_max","stat.no_sites_abund_max","stat.no_sites_abund","stat.no_sites_abund_over25","stat.abund_median","stat.abund_mean","stat.no_sites_recorded","SELECTION"
"Abies alba Miller",62.5,1,10,3,0.5,15.55,10,"all"
"Aceras anthropophorum (L.) Aiton fil.",0.5,1,1,0,0.5,0.5,1,"all"
"Acer campestre L., 1753",37.5,1,3,1,0.5,12.8333333333333,3,"all"
"Acer platanoides L.",0.5,1,1,0,0.5,0.5,1,"all"
"Acer pseudoplatanus L.",87.5,2,33,11,15,18.9393939393939,33,"all"
"Achillea collina Reichb.",37.5,1,8,1,0.5,5.125,8,"all"
"Achillea erba-rotta All.",0.5,1,1,0,0.5,0.5,1,"all"
"Achillea erba-rotta All. ""herba-rotta"" var. ambigua Heimerl (b.)",0.5,1,1,0,0.5,0.5,1,"all"
"Achillea erba-rotta All. subsp. moschata (Wulfen) Vaccari",37.5,2,9,2,0.5,11.9444444444444,9,"all"
"Achillea macrophylla L.",37.5,1,1,1,37.5,37.5,1,"all"
"Achillea millefolium L.",37.5,20,61,20,0.5,13.5819672131148,62,"all"
"Achillea millefolium L. subsp. millefolium",37.5,8,15,8,37.5,23.1333333333333,15,"all"
"Achillea nana L.",37.5,1,1,1,37.5,37.5,1,"all"
"Achillea nobilis L.",37.5,3,13,3,0.5,12.3846153846154,13,"all"
"Achillea roseo-alba Ehrend.",37.5,1,1,1,37.5,37.5,1,"all"
"Achnatherum calamagrostis (L.) P. Beauv.",37.5,3,3,3,37.5,37.5,3,"all"
"Acinos alpinus (L.) Moench subsp. alpinus",37.5,1,19,1,0.5,2.44736842105263,20,"all"
"Acinos arvensis (Lam.) Dandy",37.5,1,14,1,0.5,4.17857142857143,14,"all"
"Aconitum lycoctonum L.",0.5,1,1,0,0.5,0.5,1,"all"
"Aconitum lycoctonum L. subsp. neapolitanum (Ten.) Nyman",0.5,3,3,0,0.5,0.5,3,"all"
"Actaea spicata L.",0.5,2,2,0,0.5,0.5,2,"all"
"Adenostyles alliariae (Gouan) Kerner",37.5,1,1,1,37.5,37.5,1,"all"
"Adoxa moschatellina L.",0.5,1,1,0,0.5,0.5,1,"all"
"Aegopodium podagraria L.",62.5,1,13,5,0.5,17.7692307692308,13,"all"
"Agrimonia eupatoria L.",37.5,3,16,3,0.5,7.4375,16,"all"
"Agrostis agrostiflora (G. Beck) Rauschert",37.5,7,16,7,15,19.40625,16,"all"
"Agrostis alpina Scop.",37.5,4,5,4,37.5,30.1,5,"all"
"Agrostis canina L.",37.5,1,1,1,37.5,37.5,1,"all"
"Agrostis capillaris L.",37.5,26,51,26,37.5,22.4901960784314,51,"all"
"Agrostis capillaris L. subsp. capillaris",15,1,3,0,0.5,5.33333333333333,3,"all"
"Agrostis gigantea Roth",37.5,1,1,1,37.5,37.5,1,"all"
"Agrostis rupestris All.",37.5,6,29,6,0.5,10.6551724137931,29,"all"
"Agrostis stolonifera L.",37.5,25,42,25,37.5,24.9404761904762,42,"all"
"Ajuga chamaepitys (L.) Schreber",0.5,2,2,0,0.5,0.5,2,"all"
"Ajuga pyramidalis L.",0.5,8,8,0,0.5,0.5,8,"all"
"Ajuga reptans L.",37.5,4,23,4,0.5,7.56521739130435,23,"all"
"Alchemilla alpigena Buser",0.5,2,2,0,0.5,0.5,2,"all"
"Alchemilla alpina L.",0.5,2,2,0,0.5,0.5,2,"all"
"Alchemilla conjuncta Bab.",37.5,1,2,1,26.25,26.25,2,"all"
"Alchemilla coriacea Buser",0.5,9,9,0,0.5,0.5,9,"all"
"Alchemilla fissa G.nther & Schummel",37.5,1,4,1,0.5,9.75,4,"all"
"Alchemilla glabra Neygenf., non Poiret",37.5,1,10,1,0.5,4.2,10,"all"
"Alchemilla glaucescens Wallr.",0.5,4,4,0,0.5,0.5,4,"all"
"Alchemilla hybrida (L.) L., nom. ambig.",0.5,1,1,0,0.5,0.5,1,"all"
"Alchemilla monticola Opiz",37.5,9,37,9,0.5,10.6756756756757,37,"all"
"Alchemilla pentaphyllea L.",62.5,3,24,10,15,21.4583333333333,24,"all"
"Alchemilla subsericea Reuter",0.5,10,10,0,0.5,0.5,10,"all"
"Alchemilla vulgaris groupe",37.5,2,4,2,19,19,4,"all"
"Alchemilla xanthochlora Rothm.",37.5,2,18,2,0.5,5.41666666666667,18,"all"
"Alliaria petiolata (M. Bieb.) Cavara & Grande",0.5,1,1,0,0.5,0.5,1,"all"
"Allium oleraceum L.",0.5,3,3,0,0.5,0.5,3,"all"
"Allium schoenoprasum L.",37.5,3,8,3,7.75,16.1875,8,"all"
"Allium sphaerocephalon L., 1753",0.5,2,2,0,0.5,0.5,2,"all"
"Allium ursinum L., 1753",62.5,1,1,1,62.5,62.5,1,"all"
"Allium vineale L.",0.5,1,1,0,0.5,0.5,1,"all"
"Alnus alnobetula (Ehrh.) C. Koch subsp. alnobetula",87.5,1,21,10,15,27.5238095238095,21,"all"
"Alnus glutinosa (L.) Gaertn.",62.5,1,1,1,62.5,62.5,1,"all"
"Alnus incana (L.) Moench",62.5,1,16,7,15,20.0625,16,"all"
"Alnus viridis (Chaix) DC.",37.5,1,1,1,37.5,37.5,1,"all"
"Alopecurus myosuroides Hudson.",0.5,1,1,0,0.5,0.5,1,"all"
"Alyssum alyssoides (L.) L.",37.5,2,5,2,0.5,15.3,5,"all"
"Amaranthus hybridus L.",37.5,1,2,1,19,19,2,"all"
"Amelanchier ovalis Medik.",0.5,3,3,0,0.5,0.5,3,"all"
"Anagallis arvensis L.",0.5,1,1,0,0.5,0.5,1,"all"
"Andromeda polifolia L.",37.5,1,5,1,15,13.7,5,"all"
"Androsace alpina (L.) Lam.",0.5,1,1,0,0.5,0.5,1,"all"
"Androsace obtusifolia All.",37.5,1,4,1,0.5,9.75,4,"all"
"Angelica sylvestris L.",37.5,2,11,2,0.5,7.22727272727273,11,"all"
"Angelica sylvestris L. subsp. sylvestris",15,1,1,0,15,15,1,"all"
