"x"
"Acer pseudoplatanus L."
"Achillea millefolium L."
"Agrostis capillaris L."
"Agrostis rupestris All."
"Agrostis stolonifera L."
"Alchemilla monticola Opiz"
"Alnus alnobetula (Ehrh.) C. Koch subsp. alnobetula"
"Antennaria dioica (L.) Gaertner"
"Anthoxanthum odoratum L."
"Anthoxanthum odoratum L. subsp. nipponicum (Honda) Tzvelev"
"Anthyllis vulneraria L."
"Arnica montana L."
"Arrhenatherum elatius (L.) P. Beauv. ex J. & C. Presl subsp. elatius"
"Aster bellidiastrum (L.) Scop."
"Avenula versicolor (Vill.) La.nz subsp. versicolor"
"Bartsia alpina L."
"Brachypodium rupestre (Host) Roemer & Schultes"
"Briza media L."
"Bromus erectus Hudson"
"Calamagrostis varia (Schrader) Host subsp. varia"
"Campanula barbata L."
"Campanula rhomboidalis L."
"Campanula rotundifolia L."
"Campanula scheuchzeri Vill. subsp. scheuchzeri"
"Carduus defloratus L. subsp. defloratus"
"Carex curvula All. subsp. curvula"
"Carex davalliana Sm."
"Carex echinata Murray"
"Carex foetida All."
"Carex nigra (L.) Reichard"
"Carex panicea L."
"Carex rostrata Stokes"
"Carex sempervirens Vill. subsp. sempervirens"
"Centaurea scabiosa L."
"Crepis pyrenaica (L.) W. Greuter"
"Dactylis glomerata L."
"Dactylis glomerata L. subsp. glomerata"
"Deschampsia cespitosa (L.) P. Beauv. subsp. cespitosa"
"Deschampsia flexuosa (L.) Trin."
"Epilobium angustifolium L."
"Equisetum palustre L."
"Eriophorum polystachion L. [1753]"
"Euphorbia cyparissias L."
"Euphrasia minima Jacq. ex DC., 1805"
"Festuca nigrescens Lam."
"Festuca rubra L."
"Festuca valesiaca Gaudin"
"Fragaria vesca L."
"Galium anisophyllon Vill."
"Galium mollugo L. subsp. erectum Syme"
"Geranium sylvaticum L."
"Geum montanum L."
"Helianthemum nummularium (L.) Miller"
"Hippocrepis comosa L."
"Homogyne alpina (L.) Cass."
"Hypericum maculatum Crantz subsp. maculatum"
"Hypericum perforatum L."
"Juncus alpinoarticulatus Chaix subsp.alpinoarticulatus"
"Juncus filiformis L."
"Juniperus sibirica Loddiges in Burgsd."
"Knautia arvensis (L.) Coulter"
"Lathyrus pratensis L."
"Leontodon hispidus L."
"Leontodon pyrenaicus Gouan subsp. helveticus (M.rat) Finch & P.D. Sell"
"Leucanthemopsis alpina (L.) Heywood"
"Leucanthemum vulgare Lam."
"Lotus corniculatus L."
"Luzula alpinopilosa (Chaix) Breistr."
"Luzula lutea (All.) DC."
"Luzula multiflora (Ehrh.) Lej. subsp. multiflora"
"Meum athamanticum Jacq."
"Molinia caerulea (L.) Moench"
"Mutellina adonidifolia (J. Gay) Guterm."
"Nardus stricta L."
"Onobrychis viciifolia Scop."
"Parnassia palustris L., 1753"
"Phleum phleoides (L.) Karsten"
"Phyteuma hemisphaericum L."
"Picea abies (L.) Karsten"
"Pilosella officinarum F.W.Schultz & Sch.Bip., 1862"
"Plantago alpina L."
"Plantago lanceolata L."
"Poa alpina L."
"Poa pratensis L."
"Polygonum bistorta L."
"Polygonum viviparum L."
"Potentilla aurea L."
"Potentilla erecta (L.) R.uschel"
"Prunella vulgaris L."
"Rhinanthus alectorolophus (Scop.) Pollich"
"Rhododendron ferrugineum L."
"Rubus idaeus L."
"Rumex acetosa L."
"Salvia pratensis L."
"Sanguisorba minor Scop."
"Saxifraga aizoides L."
"Saxifraga stellaris L. subsp. robusta (Engler) Gremli"
"Scabiosa columbaria L."
"Sempervivum montanum L."
"Sesleria caerulea (L.) Ard., non sensu 4"
"Silene nutans L. subsp. nutans"
"Silene rupestris L."
"Silene vulgaris (Moench) Garcke subsp. vulgaris"
"Soldanella alpina L."
"Sorbus aucuparia L."
"Stachys recta L."
"Teucrium chamaedrys L."
"Thymus pulegioides L."
"Thymus serpyllum groupe"
"Tragopogon pratensis L. subsp. orientalis (L.) Celak."
"Trichophorum cespitosum (L.) Hartman subsp. cespitosum"
"Trifolium alpinum L."
"Trifolium badium Schreber"
"Trifolium montanum L."
"Trifolium pratense L."
"Trifolium repens L."
"Trisetum flavescens (L.) P. Beauv. subsp. flavescens"
"Trollius europaeus L."
"Vaccinium myrtillus L."
"Vaccinium uliginosum L. subsp. microphyllum (Lange) Tolm."
"Vaccinium uliginosum L. subsp. uliginosum"
"Vaccinium vitis-idaea L., 1753"
"Veratrum lobelianum Bernh. in Schrader"
"Veronica chamaedrys L."
"Viola palustris L."
